PMID,year,type,num_citations,num_authors,authors,institutions,c04_referencelist,subfield,field,domain,sustainable_development_goals,keyword_analysis,collaborative_index,license,journal_impact_factor,citations_geographical,page_count,publisher,apc_paid,open_access_status,Novelty
65679170,2020,article,8,3,"['Ram Chandra Khanal', 'Shree Raj Shakya', 'Tri Ratna Bajracharya']","['Tribhuvan University', 'Institute of Engineering', 'Tribhuvan University', 'Institute of Engineering', 'Tribhuvan University', 'Institute of Engineering']","[{'item': 85240157}, {'item': 72619087}, {'item': 76545080}, {'item': 39952807}, {'item': 4204579}, {'item': 50537619}, {'item': 17081665}, {'item': 2521366}, {'item': 17475842}, {'item': 23277468}, {'item': 48805260}, {'item': 62608968}, {'item': 32832342}, {'item': 37763250}]",Renewable energy,Climate change,Context (archaeology),"[{'id': 'https://metadata.un.org/sdg/13', 'display_name': 'Climate action', 'score': 0.63}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-1.6933874074326136
88145274,2020,book-chapter,2,5,"['Godwell Nhamo', 'Charles Nhemachena', 'Senia Nhamo', 'Vuyo Mjimba', 'Ivana Savić']",[],"[{'item': 44899545}, {'item': 42897449}, {'item': 73458842}, {'item': 25624725}, {'item': 96572970}, {'item': 24756380}, {'item': 94278994}, {'item': 98491531}]",Political science,,,[],Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-1.411640070500647
86978121,2020,book-chapter,0,1,['Eric Yankson'],['Namibia University of Science and Technology'],"[{'item': 23687086}, {'item': 74333716}, {'item': 46312671}, {'item': 40499306}, {'item': 36462555}, {'item': 98365082}, {'item': 20345250}, {'item': 34241318}, {'item': 79960412}, {'item': 73025535}, {'item': 44481228}, {'item': 17816675}, {'item': 56052329}, {'item': 83995194}, {'item': 34675421}, {'item': 97984880}, {'item': 91944037}, {'item': 26731831}, {'item': 50553113}, {'item': 37692146}, {'item': 69661518}, {'item': 33448067}, {'item': 91732691}, {'item': 85999900}, {'item': 53783948}, {'item': 80629327}, {'item': 2510256}, {'item': 80130902}]",Business,,,"[{'id': 'https://metadata.un.org/sdg/15', 'display_name': 'Life on land', 'score': 0.47}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-0.2316123903470289
89419012,2020,book-chapter,0,5,"['Godwell Nhamo', 'Charles Nhemachena', 'Senia Nhamo', 'Vuyo Mjimba', 'Ivana Savić']",[],"[{'item': 32277243}, {'item': 5833656}, {'item': 78404066}, {'item': 22203252}, {'item': 73681338}, {'item': 32425453}, {'item': 42244469}, {'item': 95569196}, {'item': 25378523}, {'item': 36492804}, {'item': 93410538}, {'item': 50175424}, {'item': 29631036}, {'item': 94278994}]",East Asia,Asia pacific,Geography,[],Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-0.7926008620944238
33827469,2020,book-chapter,0,5,"['Godwell Nhamo', 'Charles Nhemachena', 'Senia Nhamo', 'Vuyo Mjimba', 'Ivana Savić']",[],"[{'item': 93642894}, {'item': 46198670}, {'item': 69140785}, {'item': 80640905}, {'item': 12666767}, {'item': 80017313}, {'item': 16545615}, {'item': 12393570}, {'item': 24756380}, {'item': 94278994}, {'item': 87422109}, {'item': 4267781}, {'item': 98491531}]",Latin Americans,Geography,Caribbean region,[],Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-0.8726435697679601
86243425,2021,article,182,9,"['Rajvikram Madurai Elavarasan', 'Rishi Pugazhendhi', 'Taskin Jamal', 'Joanna Dyduch', 'Mohammad Taufiqul Arif', 'Nallapaneni Manoj Kumar', 'GM Shafiullah', 'Shauhrat S. Chopra', 'N. Mithulananthan']","['Texas A&M University at Galveston', 'Sri Venkateswara University', 'Ahsanullah University of Science and Technology', 'Jagiellonian University', 'Deakin University', 'City University of Hong Kong', 'Murdoch University', 'City University of Hong Kong', 'Queensland University of Technology', 'University of Queensland']","[{'item': 17342019}, {'item': 16079081}, {'item': 37183729}, {'item': 95646480}, {'item': 48481410}, {'item': 10021217}, {'item': 51106439}, {'item': 177216}, {'item': 44997828}, {'item': 76644919}, {'item': 96237035}, {'item': 34012263}, {'item': 30798341}, {'item': 42993845}, {'item': 27409594}, {'item': 48160491}, {'item': 58478660}, {'item': 97300138}, {'item': 73435181}, {'item': 92677381}, {'item': 55491947}, {'item': 96405516}, {'item': 29008071}, {'item': 52046674}, {'item': 59323497}, {'item': 69510112}, {'item': 65602214}, {'item': 86413068}, {'item': 7384451}, {'item': 86732865}, {'item': 87060269}, {'item': 36992151}, {'item': 12467768}, {'item': 35816625}, {'item': 73251229}, {'item': 51866515}, {'item': 12039690}, {'item': 19001722}, {'item': 26747069}, {'item': 53717831}, {'item': 69323143}, {'item': 77190978}, {'item': 37491291}, {'item': 96438487}, {'item': 59831822}, {'item': 7277553}, {'item': 35883899}, {'item': 50273439}, {'item': 47953361}, {'item': 8284864}, {'item': 85536183}, {'item': 47966642}, {'item': 46693696}, {'item': 91660587}, {'item': 99282385}, {'item': 17441083}, {'item': 11487759}, {'item': 83663543}, {'item': 92602218}, {'item': 67604663}, {'item': 40449294}, {'item': 39043208}, {'item': 77604315}, {'item': 8568616}, {'item': 71104869}]",Sustainability,Sustainable development,Context (archaeology),[],Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-0.9392669332488213
11075008,2021,article,49,4,"['Franziska Müller', 'Manuel Neumann', 'Carsten Elsner', 'Simone Claar']","['Universität Hamburg', 'University of Kassel', 'University of Kassel', 'University of Kassel']","[{'item': 67234933}, {'item': 96546169}, {'item': 87903397}, {'item': 53282727}, {'item': 56712734}, {'item': 87212470}, {'item': 39412094}, {'item': 25154133}, {'item': 70935839}, {'item': 88411002}, {'item': 28723874}, {'item': 91394874}, {'item': 37297241}, {'item': 70353722}, {'item': 73093925}, {'item': 29301117}, {'item': 60277172}, {'item': 97928392}, {'item': 61892637}, {'item': 14696126}, {'item': 46209234}, {'item': 51127177}, {'item': 17480471}, {'item': 39829901}, {'item': 99571133}, {'item': 20446992}, {'item': 42628164}, {'item': 99004192}, {'item': 81412193}, {'item': 18220571}, {'item': 74703351}, {'item': 50900340}, {'item': 35805566}, {'item': 81203049}, {'item': 21052546}, {'item': 49630798}, {'item': 96136749}, {'item': 5428676}, {'item': 14819015}]",Renewable energy,Economic Justice,Energy transition,"[{'id': 'https://metadata.un.org/sdg/7', 'display_name': 'Affordable and clean energy', 'score': 0.82}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 1050, 'currency': 'EUR', 'value_usd': 1132, 'provenance': 'doaj'}",Missing,-1.9818607805153934
3253326,2021,article,43,4,"['Аrtem Аrtyukhov', 'Iurii Volk', 'Tetiana Vasylieva', 'Serhiy Lyeonov']","['Sumy State University', 'Sumy State University', 'Sumy State University', 'Sumy State University']","[{'item': 35897872}, {'item': 1182356}, {'item': 53965894}, {'item': 72199337}, {'item': 43917930}, {'item': 11754878}, {'item': 15522654}, {'item': 6075503}, {'item': 24502384}, {'item': 50145574}, {'item': 52369812}, {'item': 57268764}, {'item': 50144187}, {'item': 84340974}, {'item': 29122604}, {'item': 47296567}, {'item': 60978041}, {'item': 2198571}, {'item': 41239546}, {'item': 6135029}, {'item': 89738513}, {'item': 85635862}, {'item': 74649757}, {'item': 91736701}, {'item': 65763999}, {'item': 43200613}, {'item': 39153541}, {'item': 87422189}, {'item': 39324620}, {'item': 91920947}, {'item': 38554176}, {'item': 89130518}, {'item': 45097947}, {'item': 97955976}, {'item': 18770873}, {'item': 3098398}]",Popularity,Ukrainian,Sustainable development,[],Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-2.1463369769893377
22166559,2021,article,36,5,"['Mingzhe Yu', 'Jakub Kubiczek', 'Kai Ding', 'Agha Jahanzeb', 'Nadeem Iqbal']","['Beijing Technology and Business University', 'University of Economics in Katowice', 'Universiti Putra Malaysia', 'Sukkur IBA University', 'Air University']","[{'item': 23466314}, {'item': 47233905}, {'item': 83053821}, {'item': 54356182}, {'item': 72213582}, {'item': 71634944}, {'item': 41215982}, {'item': 90312080}, {'item': 37228057}, {'item': 24222840}, {'item': 88956910}, {'item': 7363384}, {'item': 62564659}, {'item': 73326312}, {'item': 5953250}, {'item': 63559267}, {'item': 34609228}, {'item': 48091058}, {'item': 51282839}, {'item': 12621872}, {'item': 35125112}, {'item': 99888187}, {'item': 94938070}, {'item': 35723001}, {'item': 38189020}, {'item': 43102613}, {'item': 62274819}, {'item': 52008860}, {'item': 44796604}, {'item': 35497}, {'item': 3251335}, {'item': 84630933}, {'item': 56856977}, {'item': 27111725}, {'item': 54687089}, {'item': 78976885}, {'item': 70551548}, {'item': 44766117}, {'item': 71393043}, {'item': 13242511}, {'item': 11240938}, {'item': 74220399}, {'item': 35280927}, {'item': 44468933}, {'item': 95344955}, {'item': 98673159}, {'item': 15904735}, {'item': 35068675}, {'item': 57532989}, {'item': 78586181}, {'item': 55401580}]",Efficient energy use,Context (archaeology),Energy demand,"[{'id': 'https://metadata.un.org/sdg/7', 'display_name': 'Affordable and clean energy', 'score': 0.86}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-1.432987089111873
47886072,2021,article,23,6,"['Daniela Firoiu', 'George H. Ionescu', 'Ramona Pîrvu', 'Laura Mariana Cismaş', 'Sorin Tudor', 'Ioana Cristiana Patrichi']","['Romanian-American University', 'Romanian-American University', 'University of Craiova', 'West University of Timişoara', 'University of Craiova', 'Romanian-American University']","[{'item': 76018646}, {'item': 50337863}, {'item': 97414320}, {'item': 70748081}, {'item': 31578988}, {'item': 18704232}, {'item': 73647957}, {'item': 24514047}, {'item': 64685180}, {'item': 10761684}, {'item': 62704251}, {'item': 71129570}, {'item': 22373011}, {'item': 37440278}, {'item': 14640980}, {'item': 92126632}, {'item': 26488993}, {'item': 48891202}, {'item': 76953203}, {'item': 14652503}, {'item': 3190952}, {'item': 49602404}, {'item': 24361399}, {'item': 70669407}, {'item': 40884495}, {'item': 51192507}, {'item': 65560158}, {'item': 88055063}, {'item': 80253590}, {'item': 84054457}, {'item': 13336981}, {'item': 35504398}, {'item': 46367556}, {'item': 66837008}, {'item': 52180435}, {'item': 96990499}, {'item': 41239546}, {'item': 98037742}, {'item': 74003766}, {'item': 71578233}, {'item': 63663986}, {'item': 20938050}, {'item': 74099916}, {'item': 93970177}, {'item': 48586648}, {'item': 7492901}, {'item': 54291038}, {'item': 46066376}, {'item': 71406899}, {'item': 45386056}, {'item': 45386278}, {'item': 6898630}, {'item': 88145274}, {'item': 47171273}, {'item': 98803261}, {'item': 97733368}, {'item': 15124213}, {'item': 28634592}, {'item': 49946239}, {'item': 43136548}, {'item': 10192536}, {'item': 69173599}, {'item': 86243425}, {'item': 7507855}, {'item': 53548109}, {'item': 83217561}, {'item': 53484088}, {'item': 80922138}, {'item': 12415696}]",European union,Order (exchange),Member states,[],Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 2200, 'currency': 'CHF', 'value_usd': 2382, 'provenance': 'doaj'}",Missing,-0.8180176896159517
