PMID,Year,Author,Institution,City,Region,State,Latitude,Longitude
33575306,2016,Imad Ahmed,West Hertfordshire Hospitals NHS Trust,Welwyn,England,United Kingdom,51.80978229999999,-0.2376744
33575306,2016,Mohammed Shafiul Amin,Medway NHS Foundation Trust,,,,,
33575306,2016,Ismail Syed,East Lancashire Hospitals NHS Trust,,,,,
33575306,2016,Naeem Ahmed,St George’s University Hospitals NHS Foundation Trust,London,England,United Kingdom,51.426191,-0.1743849
99959287,2016,Victoria Wade,University of Adelaide,Adelaide,South Australia,Australia,-34.9284989,138.6007456
99959287,2016,Nigel Stocks,University of Adelaide,Adelaide,South Australia,Australia,-34.9284989,138.6007456
90955513,2016,Andrew McAuley,Public Health Scotland,Killin,Scotland,United Kingdom,56.49067119999999,-4.2026458
90955513,2016,Cheryl Denny,National Health Service Scotland,Killin,Scotland,United Kingdom,56.49067119999999,-4.2026458
90955513,2016,Martin Taulbut,Public Health Scotland,Killin,Scotland,United Kingdom,56.49067119999999,-4.2026458
90955513,2016,Rory Mitchell,Public Health Scotland,Killin,Scotland,United Kingdom,56.49067119999999,-4.2026458
90955513,2016,Colin Fischbacher,National Health Service Scotland,Killin,Scotland,United Kingdom,56.49067119999999,-4.2026458
90955513,2016,Barbara Graham,National Health Service Scotland,Killin,Scotland,United Kingdom,56.49067119999999,-4.2026458
90955513,2016,Ian Grant,National Health Service Scotland,Killin,Scotland,United Kingdom,56.49067119999999,-4.2026458
90955513,2016,P O’Hagan,National Health Service Scotland,Killin,Scotland,United Kingdom,56.49067119999999,-4.2026458
90955513,2016,David McAllister,NHS Fife,Kirkcaldy,Scotland,United Kingdom,56.1259479,-3.1609657
90955513,2016,Gerry McCartney,University of Edinburgh,Edinburgh,Scotland,United Kingdom,55.9445158,-3.1892413
79158822,2016,Sonia Dalkin,Northumbria University,Newcastle upon Tyne,England,United Kingdom,55.0041996,-1.5716281
79158822,2016,Monique Lhussier,United Kingdom Clinical Research Collaboration,London,England,United Kingdom,51.52582899999999,-0.129473
79158822,2016,Pete Philipson,Northumbria University,Newcastle upon Tyne,England,United Kingdom,55.0041996,-1.5716281
79158822,2016,Diana Jones,Northumbria University,Newcastle upon Tyne,England,United Kingdom,55.0041996,-1.5716281
79158822,2016,William E. Cunningham,Northumbria University,Newcastle upon Tyne,England,United Kingdom,55.0041996,-1.5716281
22524058,2016,Paul Bunyan,Edge Hill University,Ormskirk,England,United Kingdom,53.5594143,-2.8739946
90297548,2016,Leela Damodaran,Loughborough University,Loughborough,England,United Kingdom,52.7650253,-1.2320904
90297548,2016,Jatinder Sandhu,Nottingham Trent University,Nottingham,England,United Kingdom,52.9581371,-1.1542327
76156684,2016,Kjetil A. van der Wel,OsloMet – Oslo Metropolitan University,Oslo,Oslo,Norway,59.9203616,10.7378002
76156684,2016,Espen Dahl,OsloMet – Oslo Metropolitan University,Oslo,Oslo,Norway,59.9203616,10.7378002
76156684,2016,Heidi Bergsli,OsloMet – Oslo Metropolitan University,Oslo,Oslo,Norway,59.9203616,10.7378002
81264828,2016,Ana‐Lucia Mayén,Institute of Social and Preventive Medicine,,,,,
81264828,2016,Carlos de Mestral,Institute of Social and Preventive Medicine,,,,,
81264828,2016,Gerardo Zamora,World Health Organization,,,,,
81264828,2016,Fred Paccaud,Institute of Social and Preventive Medicine,,,,,
81264828,2016,Pedro Marques‐Vidal,University of Lausanne,Lausanne,Vaud,Switzerland,46.5210895,6.5801606
81264828,2016,Pascal Bovet,Institute of Social and Preventive Medicine,,,,,
81264828,2016,Silvia Stringhini,Institute of Social and Preventive Medicine,,,,,
30763486,2016,Bienvenido Ortega,Universidad de Málaga,,,,,
30763486,2016,Jesús Sanjuán,Universidad de Málaga,,,,,
30763486,2016,Antonio Casquero,Universidad de Málaga,,,,,
85778387,2016,Bruce Bonyhady,National Disability Insurance Agency,,,,,
50672861,2016,M. Gabriela M. Gomes,Liverpool School of Tropical Medicine,Liverpool,England,United Kingdom,53.40855440000001,-2.969074
50672861,2016,Maurício L. Barreto,Fundação Oswaldo Cruz,,Rio de Janeiro,Brazil,-22.8772312,-43.243633
50672861,2016,Philippe Glaziou,World Health Organization,,,,,
50672861,2016,Graham F. Medley,London School of Hygiene & Tropical Medicine,London,England,United Kingdom,51.5209041,-0.1303123
