PMID,Year,Author,Institution,City,Region,State,Latitude,Longitude,Continent
11381827,2016,Teo Boon Chui,Universiti Teknologi MARA,Shah Alam,Selangor,Malaysia,3.0697652,101.5036823,Asia
11381827,2016,Mohd Shukur bin Ahmad,Universiti Teknologi MARA,Shah Alam,Selangor,Malaysia,3.0697652,101.5036823,Asia
11381827,2016,Faezah binti Ahmad Bassim,Universiti Teknologi MARA,Shah Alam,Selangor,Malaysia,3.0697652,101.5036823,Asia
11381827,2016,Nurnadirah binti Ahmad Zaimi,Universiti Teknologi MARA,Shah Alam,Selangor,Malaysia,3.0697652,101.5036823,Asia
80539582,2016,Christina Johnson,Monash University,Clayton,Victoria,Australia,-37.9142416,145.1346592,Oceania
80539582,2016,Jennifer L. Keating,Monash University,Clayton,Victoria,Australia,-37.9142416,145.1346592,Oceania
80539582,2016,David Boud,Deakin University,,,,,,
80539582,2016,Megan Dalton,Central Queensland University,Norman Gardens,Queensland,Australia,-23.3264685,150.5189408,Oceania
80539582,2016,Debra Kiegaldie,Monash University,Clayton,Victoria,Australia,-37.9142416,145.1346592,Oceania
80539582,2016,Margaret Hay,Monash University,Clayton,Victoria,Australia,-37.9142416,145.1346592,Oceania
80539582,2016,Barry P. McGrath,Monash University,Clayton,Victoria,Australia,-37.9142416,145.1346592,Oceania
80539582,2016,Wendy McKenzie,University of Newcastle Australia,Callaghan,New South Wales,Australia,-32.8927718,151.7041775,Oceania
80539582,2016,Kichu Balakrishnan R. Nair,Monash University,Clayton,Victoria,Australia,-37.9142416,145.1346592,Oceania
80539582,2016,Debra Nestel,Monash University,Clayton,Victoria,Australia,-37.9142416,145.1346592,Oceania
80539582,2016,Claire Palermo,Monash University,Clayton,Victoria,Australia,-37.9142416,145.1346592,Oceania
65788672,2016,Anila Channa,London School of Economics and Political Science,London,England,United Kingdom,51.5144388,-0.1164513,Europe
65788672,2016,Jean-Paul Faguet,London School of Economics and Political Science,London,England,United Kingdom,51.5144388,-0.1164513,Europe
3915482,2016,Nikos Benos,University of Ioannina,Ioannina,,Greece,39.6150212,20.8443569,Europe
3915482,2016,Stelios Karagiannis,Centre for Planning and Economic Research,,,,,,
51874633,2016,Isabel Steinhardt,University of Kassel,Kassel,Hessen,Germany,51.3218131,9.5059404,Europe
51874633,2016,Christian Schneijderberg,Centre for Higher Education,,,,,,
51874633,2016,Nicolai Götze,University of Kassel,Kassel,Hessen,Germany,51.3218131,9.5059404,Europe
51874633,2016,Janosch Baumann,Centre for Higher Education,,,,,,
51874633,2016,Georg Krücken,Centre for Higher Education,,,,,,
57822043,2016,Simone Lehrl,University of Bamberg,Bamberg,Bayern,Germany,49.8938564,10.8861083,Europe
57822043,2016,Katharina Kluczniok,University of Bamberg,Bamberg,Bayern,Germany,49.8938564,10.8861083,Europe
57822043,2016,Hans-Guenther Rossbach,Leibniz Institute for Educational Trajectories,Bamberg,Bayern,Germany,49.89150739999999,10.8975977,Europe
78008519,2016,Juan José Tarı́,University of Alicante,San Vicente del Raspeig,Comunidad Valenciana,Spain,38.3846639,-0.5139975999999999,Europe
76553784,2016,Helena Breth Nielsen,Steno Diabetes Center,Herlev,,Denmark,55.7303763,12.4410704,Europe
76553784,2016,Louise L. Ovesen,University of Copenhagen,København,,Denmark,55.6802303,12.5724096,Europe
76553784,2016,Laust Hvas Mortensen,Steno Diabetes Center,Herlev,,Denmark,55.7303763,12.4410704,Europe
76553784,2016,Cathrine Juel Lau,University of Copenhagen,København,,Denmark,55.6802303,12.5724096,Europe
76553784,2016,Lene Eide Joensen,University of Copenhagen,København,,Denmark,55.6802303,12.5724096,Europe
66386967,2016,Jacqueline A. Clary,University of Houston,Houston,Texas,United States,29.7204627,-95.3429319,North America
66386967,2016,Joe C. Ontiveros,University of Houston,Houston,Texas,United States,29.7204627,-95.3429319,North America
66386967,2016,Stanley G. Cron,University of Houston,Houston,Texas,United States,29.7204627,-95.3429319,North America
88632426,2016,Michelle Lin,Stanford University,Stanford,California,United States,37.42766,-122.17006,North America
88632426,2016,Nikita Joshi,"University of California, Los Angeles",Los Angeles,California,United States,34.0699182,-118.4438495,North America
88632426,2016,Andrew Grock,"University of California, San Francisco",San Francisco,California,United States,37.7626459,-122.4587106,North America
88632426,2016,Anand Swaminathan,HealthPartners,,,,,,
88632426,2016,Eric J. Morley,University of Minnesota,Minneapolis,Minnesota,United States,44.97399,-93.2277285,North America
88632426,2016,Jeremy Branzetti,Oregon Health & Science University,,,,,,
88632426,2016,Taku Taira,Stony Brook University,Stony Brook,New York,United States,40.90413849999999,-73.1237618,North America
88632426,2016,Felix Ankel,Bellevue Hospital Center,New York,New York,United States,40.7396865,-73.9762044,North America
88632426,2016,Lalena M. Yarris,New York University,New York,New York,United States,40.7127753,-74.0059728,North America
62371505,2016,Pankaj Deshwal,Netaji Subhas University of Technology,Delhi,Delhi,India,28.6109375,77.0384531,Asia
96379459,2016,Rebecca L. Thomas,Hartford Financial Services (United States),Abbeyville,Colorado,United States,38.7945952,-106.5348379,North America
36357819,2016,Amirul Mukminin,Jambi University,,Jambi,Indonesia,-1.612342,103.5181549,Asia
36357819,2016,Titin Rohayati,Jambi University,,Jambi,Indonesia,-1.612342,103.5181549,Asia
36357819,2016,Herland Akbari Putra,Jambi University,,Jambi,Indonesia,-1.612342,103.5181549,Asia
36357819,2016,Akhmad Habibi,Jambi University,,Jambi,Indonesia,-1.612342,103.5181549,Asia
36357819,2016,Mia Aina,Jambi University,,Jambi,Indonesia,-1.612342,103.5181549,Asia
23382714,2016,Abu Saleh Md. Sohel-Uz-Zaman,United International University,Dhaka,Dhaka Division,Bangladesh,23.7978829,90.44971,Asia
23382714,2016,Umana Anjalin,University of Tennessee at Knoxville,Knoxville,Tennessee,United States,35.9544013,-83.92945639999999,North America
9147147,2016,Jane Lewis,London School of Economics and Political Science,London,England,United Kingdom,51.5144388,-0.1164513,Europe
9147147,2016,Anne West,London School of Economics and Political Science,London,England,United Kingdom,51.5144388,-0.1164513,Europe
47958747,2016,Shellene K Dietrich,,,,,,,
47958747,2016,Coleen M Francis-Jimenez,,,,,,,
47958747,2016,Melida Delcina Knibbs,,,,,,,
47958747,2016,Ismael L Umali,,,,,,,
47958747,2016,Marie Truglio‐Londrigan,,,,,,,
14411934,2016,Frank Hammonds,Troy University,Troy,Alabama,United States,31.80259259999999,-85.9571615,North America
14411934,2016,Gina J. Mariano,Troy University,Troy,Alabama,United States,31.80259259999999,-85.9571615,North America
14411934,2016,Gracie Ammons,Troy University,Troy,Alabama,United States,31.80259259999999,-85.9571615,North America
