PMID,year,type,num_citations,num_authors,authors,institutions,c04_referencelist,subfield,field,domain,sustainable_development_goals,sdg_query_source,keyword_analysis,collaborative_index,license,journal_impact_factor,citations_geographical,page_count,publisher,apc_paid,open_access_status,Novelty
15869286,2014,article,302,6,"['Tamara J. Moore', 'Aran Glancy', 'Kristina Tank', 'Jennifer Kersten', 'Karl A. Smith', 'Micah Stohlmann']","['Purdue University System', 'University of Minnesota', 'University of Minnesota', 'University of Minnesota', 'University of Minnesota', 'Purdue University System']","[{'item': 22813865}, {'item': 50028931}, {'item': 45227342}, {'item': 43359611}, {'item': 61792921}, {'item': 53958549}, {'item': 95607266}, {'item': 99879052}, {'item': 24716814}, {'item': 15685732}, {'item': 96829206}, {'item': 33550708}, {'item': 16070257}, {'item': 61897941}, {'item': 51738823}, {'item': 79549847}, {'item': 80442259}, {'item': 90926565}]",Engineering education,Curriculum,Quality (philosophy),['Quality Education'],Quality Education,Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-2.5561858267185897
14671425,2014,article,213,1,['Khanchitpol Yousapronpaiboon'],['Khon Kaen University'],"[{'item': 44232336}, {'item': 27362560}, {'item': 33574301}, {'item': 37960226}, {'item': 19834689}, {'item': 52953754}, {'item': 97011105}, {'item': 52246474}, {'item': 21911019}, {'item': 46447170}, {'item': 15812796}, {'item': 48450456}, {'item': 74428805}, {'item': 58982103}, {'item': 35867549}, {'item': 19619454}, {'item': 81752977}, {'item': 90926565}, {'item': 59410117}]",SERVQUAL,Service quality,Empathy,['Quality Education'],Quality Education,Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-2.499027412878641
5620460,2014,article,240,2,"['Marleen J. E. Klaassen', 'Jochen Peter']","['University of Amsterdam', 'University of Amsterdam']","[{'item': 62696138}, {'item': 20771783}, {'item': 76826259}, {'item': 16157982}, {'item': 54648132}, {'item': 77906068}, {'item': 50814053}, {'item': 97809729}, {'item': 28824198}, {'item': 7263032}, {'item': 81505411}, {'item': 78828851}, {'item': 35028334}, {'item': 70904729}, {'item': 74117105}, {'item': 12821010}, {'item': 51061152}, {'item': 42149000}, {'item': 27191462}, {'item': 11259294}, {'item': 81404012}, {'item': 42173331}, {'item': 23254393}, {'item': 73401819}, {'item': 67864294}, {'item': 58392657}, {'item': 55543490}, {'item': 75171826}, {'item': 32003044}, {'item': 10068346}, {'item': 83180470}, {'item': 41756480}, {'item': 88597736}, {'item': 60638991}, {'item': 9286166}, {'item': 82977667}, {'item': 90267571}, {'item': 13549174}, {'item': 25300536}, {'item': 84318820}, {'item': 55275244}, {'item': 83151198}, {'item': 8392417}, {'item': 96323476}, {'item': 8759531}, {'item': 86376197}, {'item': 21203410}, {'item': 45325704}, {'item': 85089011}, {'item': 98757652}, {'item': 20864368}, {'item': 76249404}, {'item': 82089593}, {'item': 95855938}]",Pornography,Amateur,The Internet,['Gender Equality'],Gender Equality,Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-3.639130749523709
63954410,2014,article,232,1,['Matt Anderson'],[],"[{'item': 60273345}, {'item': 3451252}, {'item': 68885546}, {'item': 44300783}, {'item': 7297116}, {'item': 39967613}, {'item': 96427396}, {'item': 22506764}, {'item': 44120793}, {'item': 33483305}, {'item': 14289866}, {'item': 98318143}, {'item': 81089227}, {'item': 51817905}, {'item': 68128917}, {'item': 41894153}, {'item': 1850629}, {'item': 70632318}, {'item': 57856580}, {'item': 1418224}, {'item': 26222781}, {'item': 14224820}, {'item': 28698321}, {'item': 29166580}, {'item': 48335517}, {'item': 14460}, {'item': 71109626}, {'item': 43991240}, {'item': 50613432}, {'item': 55683084}, {'item': 97226312}, {'item': 14838837}, {'item': 79718156}, {'item': 84225440}, {'item': 10043248}, {'item': 11335283}, {'item': 67562320}, {'item': 82545325}, {'item': 91276086}, {'item': 13901458}, {'item': 71786997}, {'item': 14531024}, {'item': 82341988}, {'item': 77686414}]",Political science,,,['Gender Equality'],Gender Equality,Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-4.057314345240828
89486010,2014,article,205,2,"['Gerhard Meisenberg', 'Michael A. Woodley of Menie']","['Ross University School of Veterinary Medicine', 'University of Arizona']","[{'item': 37739142}, {'item': 47554664}, {'item': 86862739}, {'item': 13325474}, {'item': 85454839}, {'item': 44766668}, {'item': 94161602}, {'item': 91559094}, {'item': 35408942}, {'item': 80157877}, {'item': 18076035}, {'item': 97139672}, {'item': 17533187}, {'item': 89767527}, {'item': 83108516}, {'item': 68735014}, {'item': 90527074}, {'item': 6965958}, {'item': 26269095}, {'item': 36773220}, {'item': 46098217}, {'item': 35332791}, {'item': 50592139}, {'item': 63561523}, {'item': 22289903}, {'item': 71848903}, {'item': 28817408}, {'item': 99393719}, {'item': 37134128}, {'item': 13983713}, {'item': 23277059}, {'item': 31044533}, {'item': 4045471}, {'item': 69076715}, {'item': 47520101}, {'item': 97188104}, {'item': 8593721}, {'item': 57981367}, {'item': 94021974}]",Happiness,Life satisfaction,Positive psychology,['Gender Equality'],Gender Equality,Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-4.304542257175181
84729403,2014,review,463,7,"['Marie‐Anne Durand', 'Lewis Carpenter', 'Hayley Dolan', 'Paulina Bravo', 'Mala Mann', 'Frances Bunn', 'Glyn Elwyn']","['University of Hertfordshire', 'University of Hertfordshire', 'University of Hertfordshire', 'Pontificia Universidad Católica de Chile', 'Cardiff University', 'University of Hertfordshire', 'Dartmouth College']","[{'item': 9580127}, {'item': 83072898}, {'item': 63595162}, {'item': 2325837}, {'item': 40639298}, {'item': 68005978}, {'item': 18059513}, {'item': 90110580}, {'item': 34616340}, {'item': 97342576}, {'item': 48456070}, {'item': 18723186}, {'item': 44669608}, {'item': 51221918}, {'item': 64738210}, {'item': 42921546}, {'item': 70661973}, {'item': 77865775}, {'item': 18108804}, {'item': 15801081}, {'item': 95145836}, {'item': 98808686}, {'item': 50660605}, {'item': 94819629}, {'item': 1892488}, {'item': 7371269}, {'item': 1566067}, {'item': 4297005}, {'item': 82476672}, {'item': 34205840}, {'item': 3165089}, {'item': 5285362}, {'item': 70697562}, {'item': 80467969}, {'item': 86495290}, {'item': 20932308}, {'item': 21824503}, {'item': 31198217}, {'item': 13275147}, {'item': 81956063}, {'item': 46724408}, {'item': 704462}, {'item': 14635687}, {'item': 88673107}, {'item': 54906658}, {'item': 74874713}, {'item': 74427440}, {'item': 47290249}, {'item': 46735916}, {'item': 73026858}, {'item': 1805631}, {'item': 522520}, {'item': 9172673}, {'item': 14480029}, {'item': 5894073}, {'item': 90926565}, {'item': 57833151}, {'item': 15394934}]",Disadvantaged,Psychological intervention,CINAHL,['Reduced Inequalities'],Reduced Inequalities,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 1805, 'currency': 'USD', 'value_usd': 1805, 'provenance': 'doaj'}",Missing,-3.4936120409588525
80081334,2014,review,210,6,"['Frances Hillier-Brown', 'Clare Bambra', 'Joanne‐Marie Cairns', 'Adetayo Kasim', 'Helen Moore', 'Carolyn Summerbell']","['Durham University', 'Durham University', 'Durham University', 'Durham University', 'Durham University', 'Durham University']","[{'item': 92037212}, {'item': 38718055}, {'item': 42696610}, {'item': 45558410}, {'item': 81683695}, {'item': 90577499}, {'item': 4281153}, {'item': 6052043}, {'item': 20142321}, {'item': 28629745}, {'item': 53586623}, {'item': 61178460}, {'item': 96096756}, {'item': 15937771}, {'item': 78419848}, {'item': 14303578}, {'item': 81177750}, {'item': 12359100}, {'item': 25523774}, {'item': 32843459}, {'item': 49957133}, {'item': 90804288}, {'item': 99882489}, {'item': 54116350}, {'item': 89467934}, {'item': 3914791}, {'item': 49714708}, {'item': 40871771}, {'item': 5982895}, {'item': 41195111}, {'item': 25502868}, {'item': 78596126}, {'item': 17353519}, {'item': 77549155}, {'item': 71618110}, {'item': 36569833}, {'item': 83174184}, {'item': 35175587}, {'item': 52658352}, {'item': 50030877}, {'item': 84729403}, {'item': 61569734}, {'item': 45305948}, {'item': 20033175}, {'item': 70565411}, {'item': 56233800}, {'item': 53000824}, {'item': 22665440}, {'item': 31433347}, {'item': 13059064}, {'item': 82112897}, {'item': 91412403}, {'item': 58558216}, {'item': 90620498}, {'item': 51234416}, {'item': 3558553}]",Psychological intervention,Medicine,Socioeconomic status,['Reduced Inequalities'],Reduced Inequalities,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 1870, 'currency': 'GBP', 'value_usd': 2293, 'provenance': 'doaj'}",Missing,-3.565048206163011
41863612,2014,article,99,11,"['Terje Andreas Eikemo', 'Rasmus Hoffmann', 'Margarete C. Kulik', 'Ivana Kulhánová', 'Marlen Toch-Marquardt', 'Gwenn Menvielle', 'Caspar W. N. Looman', 'Domantas Jasilionis', 'Pekka Martikainen', 'Olle Lundberg', 'Johan P. Mackenbach']","['Norwegian University of Science and Technology', 'Erasmus MC', 'Erasmus MC', 'Erasmus MC', 'Erasmus MC', 'Norwegian University of Science and Technology', 'Erasmus MC', 'Institut Pierre Louis d‘Épidémiologie et de Santé Publique', 'Inserm', 'Sorbonne Université', 'Erasmus MC', 'Max Planck Institute for Demographic Research', 'University of Helsinki', 'Centre for Health Equity Studies', 'Stockholm University', 'Karolinska Institutet', 'Erasmus MC']","[{'item': 90665569}, {'item': 30800075}, {'item': 56056374}, {'item': 19297909}, {'item': 31882360}, {'item': 65524634}, {'item': 59806484}, {'item': 13555908}, {'item': 48855934}, {'item': 50257658}, {'item': 19904697}, {'item': 36346261}, {'item': 72061661}, {'item': 49132901}, {'item': 52433684}, {'item': 25844425}, {'item': 22024511}, {'item': 89990817}, {'item': 15007691}, {'item': 68032889}, {'item': 65569437}, {'item': 53821767}, {'item': 86256338}, {'item': 4707999}, {'item': 11410947}, {'item': 86656315}, {'item': 45469341}, {'item': 50697522}, {'item': 20324298}, {'item': 12950106}, {'item': 95051791}, {'item': 8389055}, {'item': 10070094}, {'item': 21668254}, {'item': 67906540}, {'item': 49546025}, {'item': 30114316}, {'item': 31208673}, {'item': 53156142}, {'item': 52121939}, {'item': 15786630}, {'item': 34444638}, {'item': 3237245}, {'item': 3886733}, {'item': 22981709}, {'item': 96257125}, {'item': 56169717}, {'item': 2210118}, {'item': 80676410}, {'item': 40692742}, {'item': 62385731}, {'item': 2067070}, {'item': 66720237}, {'item': 53078669}, {'item': 36909756}, {'item': 3247584}, {'item': 35367330}, {'item': 83326325}, {'item': 24158375}, {'item': 9867601}, {'item': 43405656}, {'item': 65853426}, {'item': 47358804}, {'item': 88638641}, {'item': 16081647}, {'item': 18057963}, {'item': 87376916}, {'item': 56417903}, {'item': 19087272}, {'item': 34655245}, {'item': 63741274}]",Inequality,Overweight,Socioeconomic status,['Reduced Inequalities'],Reduced Inequalities,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 1805, 'currency': 'USD', 'value_usd': 1805, 'provenance': 'doaj'}",Missing,-3.0827240925292347
71881196,2014,article,82,7,"['Alison McFadden', 'Jonathan Green', 'Victoria Williams', 'Jenny McLeish', 'Felicia McCormick', 'Julia Fox‐Rushby', 'Mary J. Renfrew']","['University of Dundee', 'University of York', 'Tunbridge Wells Hospital', 'University of York', 'Brunel University of London', 'University of Dundee']","[{'item': 6574254}, {'item': 71550316}, {'item': 54705387}, {'item': 43021186}, {'item': 51290481}, {'item': 71748430}, {'item': 69647729}, {'item': 4847434}, {'item': 25859243}, {'item': 85769167}, {'item': 19248588}, {'item': 77607544}, {'item': 8699120}, {'item': 92809841}, {'item': 37261709}, {'item': 68232571}, {'item': 17055109}, {'item': 93715775}, {'item': 81156575}, {'item': 77122261}, {'item': 29226704}, {'item': 84782278}, {'item': 4238294}, {'item': 58958979}, {'item': 34588035}, {'item': 14310712}, {'item': 23257828}, {'item': 94029325}, {'item': 69416623}, {'item': 87443359}, {'item': 31314767}, {'item': 19384704}, {'item': 79112699}, {'item': 96524989}, {'item': 1949221}, {'item': 9356543}, {'item': 6567740}, {'item': 87751921}, {'item': 94495204}, {'item': 41159892}, {'item': 68613310}, {'item': 90926565}]",Voucher,Medicine,Focus group,['Reduced Inequalities'],Reduced Inequalities,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 1870, 'currency': 'GBP', 'value_usd': 2293, 'provenance': 'doaj'}",Missing,-4.1525704432193375
84229060,2014,article,295,5,"['Bonizella Biagini', 'Rosina Bierbaum', 'Missy Stults', 'Saliha Dobardzic', 'Shannon M. McNeeley']","['United Nations Development Programme', 'University of Michigan–Ann Arbor', 'University of Michigan–Ann Arbor', 'Global Environment Facility', 'Colorado State University']","[{'item': 15572478}, {'item': 34862937}, {'item': 91758329}, {'item': 68143312}, {'item': 52126811}, {'item': 4595537}, {'item': 53762213}, {'item': 62486499}, {'item': 64069806}, {'item': 24643063}, {'item': 64883693}, {'item': 44964959}, {'item': 79016091}, {'item': 4677679}, {'item': 27782989}, {'item': 81053560}, {'item': 43821418}, {'item': 64007564}, {'item': 74814209}, {'item': 38846298}, {'item': 53830194}, {'item': 58398910}, {'item': 57506888}, {'item': 4536256}, {'item': 9422304}, {'item': 68273479}, {'item': 92745811}, {'item': 89529941}, {'item': 82144846}, {'item': 80879120}, {'item': 76587605}, {'item': 22740433}, {'item': 60992041}, {'item': 83220893}, {'item': 82397115}, {'item': 93576993}, {'item': 7889111}, {'item': 87281716}, {'item': 81160640}, {'item': 58360040}, {'item': 23477444}, {'item': 24572758}, {'item': 33089051}, {'item': 12446727}, {'item': 5667212}, {'item': 62424240}, {'item': 10615465}, {'item': 3597077}, {'item': 51289633}, {'item': 39320999}, {'item': 3953806}, {'item': 9862902}, {'item': 65933121}, {'item': 98482661}, {'item': 55908644}, {'item': 33477295}, {'item': 42679641}, {'item': 12617965}, {'item': 30417986}, {'item': 43896246}, {'item': 62133848}, {'item': 78464932}, {'item': 80410732}, {'item': 17700640}, {'item': 55990614}, {'item': 35893039}, {'item': 19797851}, {'item': 90926565}, {'item': 61250427}]",Adaptation (eye),Typology,Preparedness,['Climate Action'],Climate Action,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 5150, 'currency': 'USD', 'value_usd': 5150, 'provenance': 'doaj'}",Missing,-3.1406991662757395
40223917,2014,article,270,4,"['Tim Kurz', 'Benjamin Gardner', 'Bas Verplanken', 'Charles Abraham']","['University of Exeter', 'University College London', 'University of Bath', 'University of Exeter']","[{'item': 953589}, {'item': 73938515}, {'item': 46093319}, {'item': 68517112}, {'item': 74845943}, {'item': 53596829}, {'item': 2474100}, {'item': 31480468}, {'item': 53457096}, {'item': 11268335}, {'item': 66251767}, {'item': 55130088}, {'item': 29564475}, {'item': 1794597}, {'item': 94839576}, {'item': 94446182}, {'item': 91714096}, {'item': 51968898}, {'item': 44449228}, {'item': 80121600}, {'item': 59059756}, {'item': 27857312}, {'item': 76474424}, {'item': 77695583}, {'item': 71685889}, {'item': 96401584}, {'item': 97219170}, {'item': 42863812}, {'item': 52344745}, {'item': 12127773}, {'item': 62776218}, {'item': 88866183}, {'item': 76003945}, {'item': 79756439}, {'item': 26501986}, {'item': 55025995}, {'item': 83201553}, {'item': 78790716}, {'item': 38324211}, {'item': 79358194}, {'item': 31976973}, {'item': 39033954}, {'item': 76676757}, {'item': 43844818}, {'item': 40366792}, {'item': 61133994}, {'item': 78944556}, {'item': 34794648}, {'item': 26359813}, {'item': 13884406}, {'item': 23617741}, {'item': 52859387}, {'item': 21131613}, {'item': 32091603}, {'item': 28805590}, {'item': 12126369}, {'item': 85862860}, {'item': 81834157}, {'item': 67267875}, {'item': 88398694}, {'item': 79819805}, {'item': 4869897}, {'item': 86377243}, {'item': 22905418}, {'item': 33330774}, {'item': 48957016}, {'item': 56267289}, {'item': 8995562}, {'item': 96828976}, {'item': 63712953}, {'item': 30549192}, {'item': 80740571}, {'item': 85234040}, {'item': 99740207}, {'item': 83627662}, {'item': 36110720}, {'item': 68263633}, {'item': 38182775}, {'item': 36493138}, {'item': 59062281}, {'item': 49488957}, {'item': 33768234}, {'item': 48760877}, {'item': 979534}, {'item': 81999786}, {'item': 92131896}, {'item': 9333244}, {'item': 81109465}, {'item': 81758715}, {'item': 74428951}, {'item': 68557178}, {'item': 6520257}, {'item': 39799318}, {'item': 75292415}, {'item': 25487152}, {'item': 63730406}, {'item': 38925815}, {'item': 98837721}, {'item': 11898981}, {'item': 57338077}, {'item': 84064740}, {'item': 39231620}, {'item': 88613874}, {'item': 34993870}, {'item': 91437145}, {'item': 57846504}, {'item': 98605860}, {'item': 6360630}, {'item': 71496775}, {'item': 15629770}, {'item': 25866582}]",Operationalization,Construct (python library),Climate change,['Climate Action'],Climate Action,Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-2.1787538450431203
50492380,2014,article,251,4,"['Connie Roser‐Renouf', 'Edward Maibach', 'Anthony Leiserowitz', 'Xiaoquan Zhao']","['George Mason University', 'George Mason University', 'Yale University', 'George Mason University']","[{'item': 39905086}, {'item': 68517112}, {'item': 32278652}, {'item': 74994799}, {'item': 470859}, {'item': 13688424}, {'item': 92183968}, {'item': 49303141}, {'item': 27156333}, {'item': 87552885}, {'item': 29169572}, {'item': 9695265}, {'item': 99407260}, {'item': 22576}, {'item': 67117963}, {'item': 56446200}, {'item': 932075}, {'item': 78294343}, {'item': 92080772}, {'item': 31496369}, {'item': 37575844}, {'item': 48138814}, {'item': 77949962}, {'item': 56211173}, {'item': 32277377}, {'item': 38232302}, {'item': 72924510}, {'item': 1154430}, {'item': 64412025}, {'item': 54833331}, {'item': 78032543}, {'item': 65960135}, {'item': 37854302}, {'item': 94467738}, {'item': 35399154}, {'item': 46360502}, {'item': 45299217}, {'item': 99305323}, {'item': 41036038}, {'item': 23335262}]",Climate change,Politics,Interpersonal communication,['Climate Action'],Climate Action,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 3290, 'currency': 'EUR', 'value_usd': 3990, 'provenance': 'doaj'}",Missing,-4.25259128436866
46438005,2014,article,248,27,"['Kerri L. Steenwerth', 'Amanda K. Hodson', 'Arnold J. Bloom', 'Michael R. Carter', 'Andrea Cattaneo', 'C.J. Chartres', 'Jerry L. Hatfield', 'Kevin Henry', 'J. W. Hopmans', 'William R. Horwáth', 'Bryan M. Jenkins', 'E. Kebreab', 'Rik Leemans', 'Leslie Lipper', 'Mark Lubell', 'Siwa Msangi', 'Ravi Prabhu', 'Matthew Reynolds', 'Samuel Sandoval‐Solis', 'William M. Sischo', 'Michael Springborn', 'Pablo Tittonell', 'Stephen Wheeler', 'Sonja J. Vermeulen', 'Eva Wollenberg', 'Lovell S. Jarvis', 'Louise E. Jackson']","['Agricultural Research Service', 'United States Department of Agriculture', 'University of California, Davis', 'University of California, Davis', 'University of California, Davis', 'Food and Agriculture Organization of the United Nations', 'University of Canberra', 'National Laboratory for Agriculture and the Environment', 'University of California, Davis', 'University of California, Davis', 'University of California, Davis', 'University of California, Davis', 'Wageningen University & Research', 'Food and Agriculture Organization of the United Nations', 'International Food Policy Research Institute', 'World Agroforestry Centre', 'Centro Internacional de Mejoramiento de Maíz Y Trigo', 'University of California, Davis', 'Washington State University', 'University of California, Davis', 'Wageningen University & Research', 'University of California, Davis', 'University of Copenhagen', 'University of Vermont', 'University of California, Davis', 'University of California, Davis']","[{'item': 45173748}, {'item': 60660590}, {'item': 49565132}, {'item': 65527221}, {'item': 46997053}, {'item': 31966398}, {'item': 58753218}, {'item': 39518270}, {'item': 7703624}, {'item': 38374677}, {'item': 84239251}, {'item': 15336102}, {'item': 82581903}, {'item': 18942034}, {'item': 48670421}, {'item': 81851639}, {'item': 96040672}, {'item': 80827018}, {'item': 87693111}, {'item': 59100851}, {'item': 27554237}, {'item': 53010823}, {'item': 98673508}, {'item': 7370466}, {'item': 67842157}, {'item': 1186702}, {'item': 43792097}, {'item': 70125746}, {'item': 88020772}, {'item': 53510152}, {'item': 97003446}, {'item': 44494586}, {'item': 55018378}, {'item': 99396568}, {'item': 52849585}, {'item': 21346847}, {'item': 28995491}, {'item': 31267315}, {'item': 83707132}, {'item': 90865375}, {'item': 96400928}, {'item': 55060016}, {'item': 36849356}, {'item': 75129911}, {'item': 27136020}, {'item': 12585005}, {'item': 61187707}, {'item': 79595825}, {'item': 33988130}, {'item': 49935767}, {'item': 72789443}, {'item': 24354916}, {'item': 52639990}, {'item': 37044729}, {'item': 72642131}, {'item': 13528100}, {'item': 20972183}, {'item': 12555482}, {'item': 94565020}, {'item': 5128375}, {'item': 29517761}, {'item': 85079109}, {'item': 60702927}, {'item': 7886668}, {'item': 37689792}, {'item': 86126150}, {'item': 15319280}, {'item': 15066888}, {'item': 69990059}, {'item': 26495851}, {'item': 43587198}, {'item': 25629030}, {'item': 4307744}, {'item': 86583533}, {'item': 65157516}, {'item': 65761510}, {'item': 43982882}, {'item': 43405060}, {'item': 59296623}, {'item': 44040437}, {'item': 63275497}, {'item': 38729180}, {'item': 52740939}, {'item': 42151853}, {'item': 85957659}, {'item': 87789294}, {'item': 4759337}, {'item': 39879807}, {'item': 19809347}, {'item': 16044886}, {'item': 3317053}, {'item': 15253330}, {'item': 32387043}, {'item': 55761954}, {'item': 75779061}, {'item': 84072651}, {'item': 41099572}, {'item': 30668278}, {'item': 91342053}, {'item': 10432959}, {'item': 90679962}, {'item': 52744077}, {'item': 94156373}, {'item': 30358477}, {'item': 17204246}, {'item': 86176459}, {'item': 23266644}, {'item': 82144158}, {'item': 405288}, {'item': 86998638}, {'item': 18819026}, {'item': 26029720}, {'item': 44334804}, {'item': 22927425}, {'item': 16618842}, {'item': 33916048}, {'item': 69329445}, {'item': 62166342}, {'item': 48790183}, {'item': 59601525}, {'item': 39407761}, {'item': 7003910}, {'item': 51602357}, {'item': 47780046}, {'item': 89223171}, {'item': 50841199}, {'item': 52542540}, {'item': 62509696}, {'item': 10725148}, {'item': 37848344}, {'item': 38659724}, {'item': 39998086}, {'item': 65657581}, {'item': 8890800}, {'item': 74236854}, {'item': 96710920}, {'item': 75262381}, {'item': 33725170}, {'item': 50166742}, {'item': 53883511}, {'item': 70074559}, {'item': 83328463}, {'item': 24747918}, {'item': 54267697}, {'item': 95975127}, {'item': 43008059}, {'item': 44072412}, {'item': 98716376}, {'item': 10866938}, {'item': 16514699}, {'item': 68218664}, {'item': 17264176}, {'item': 85491609}, {'item': 7686116}, {'item': 51292025}, {'item': 89157297}, {'item': 71800659}, {'item': 3588408}, {'item': 79726114}, {'item': 80920524}, {'item': 91531837}, {'item': 72883625}, {'item': 18591792}, {'item': 45216613}, {'item': 26058}, {'item': 5630341}, {'item': 55227545}, {'item': 49552764}, {'item': 85865804}, {'item': 53001818}, {'item': 86675802}, {'item': 29169148}, {'item': 84226189}, {'item': 89511506}, {'item': 70187327}, {'item': 45645628}, {'item': 82738603}, {'item': 86461401}, {'item': 71803310}, {'item': 59344600}, {'item': 23756744}, {'item': 8479064}, {'item': 83329718}, {'item': 34941066}, {'item': 5355040}, {'item': 463538}, {'item': 44291980}, {'item': 12974320}, {'item': 57057565}, {'item': 65050201}, {'item': 56436247}, {'item': 66814922}, {'item': 99785945}, {'item': 44057083}, {'item': 20551588}, {'item': 59551627}, {'item': 31036803}, {'item': 10741676}, {'item': 56193505}, {'item': 84426935}, {'item': 99856858}, {'item': 30790856}, {'item': 94047685}, {'item': 68854173}, {'item': 56245991}, {'item': 19994696}, {'item': 95274941}, {'item': 96788479}, {'item': 15507294}, {'item': 39601774}, {'item': 71105232}, {'item': 27889356}, {'item': 69963490}, {'item': 86566031}, {'item': 11634238}, {'item': 53592160}, {'item': 6251221}, {'item': 54583272}, {'item': 41394261}, {'item': 2434374}, {'item': 90908143}, {'item': 27398521}, {'item': 77678144}, {'item': 77715013}, {'item': 50912170}, {'item': 48789697}, {'item': 19760153}, {'item': 77870917}, {'item': 88269437}, {'item': 80724566}, {'item': 32922714}, {'item': 62369912}, {'item': 90791930}, {'item': 25908620}, {'item': 28330236}, {'item': 40068419}, {'item': 52767766}, {'item': 62754518}, {'item': 23161098}, {'item': 29747284}, {'item': 14597149}, {'item': 95018278}, {'item': 22163887}, {'item': 76191400}, {'item': 77310421}, {'item': 11676278}, {'item': 52873557}, {'item': 61521988}, {'item': 65048915}, {'item': 69020445}, {'item': 76153636}, {'item': 38174379}, {'item': 71587246}, {'item': 58929973}, {'item': 8539653}, {'item': 50234149}, {'item': 6188741}, {'item': 51996319}, {'item': 60553205}, {'item': 46873273}, {'item': 15271603}, {'item': 46160021}, {'item': 58469057}, {'item': 39444935}, {'item': 84692524}, {'item': 31847506}, {'item': 58399544}, {'item': 99735770}, {'item': 94506047}, {'item': 38922101}, {'item': 29905581}, {'item': 38183746}, {'item': 5027228}, {'item': 60632781}, {'item': 94766538}, {'item': 43801690}, {'item': 9242070}, {'item': 56855448}, {'item': 39633512}, {'item': 34653431}, {'item': 75758284}, {'item': 90926565}, {'item': 97565896}, {'item': 40368558}, {'item': 72273984}, {'item': 80055141}, {'item': 13481729}, {'item': 85987183}]",Food security,Agriculture,Ecosystem services,['Climate Action'],Climate Action,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 1490, 'currency': 'GBP', 'value_usd': 1827, 'provenance': 'doaj'}",Missing,-0.2607501451087105
84426935,2014,article,195,14,"['Joost Vervoort', 'Philip K. Thornton', 'Patti Kristjanson', 'Wiebke Förch', 'Polly Ericksen', 'Kasper Kok', 'John Ingram', 'Mario Herrero', 'Amanda Palazzo', 'Ariella E.S. Helfgott', 'Angela Wilkinson', 'Peter Havlík', 'Daniel Mason-D’Croz', 'Chris Jost']","['University of Oxford', 'Climate Change, Agriculture and Food Security', 'International Livestock Research Institute', 'Climate Change, Agriculture and Food Security', 'Climate Change, Agriculture and Food Security', 'Climate Change, Agriculture and Food Security', 'International Livestock Research Institute', 'Wageningen University & Research', 'Natural Environment Research Council', 'University of Oxford', 'International Livestock Research Institute', 'Commonwealth Scientific and Industrial Research Organisation', 'International Institute for Applied Systems Analysis', 'University of Adelaide', 'University of Oxford', 'Wageningen University & Research', 'University of Oxford', 'International Institute for Applied Systems Analysis', 'International Food Policy Research Institute', 'Climate Change, Agriculture and Food Security']","[{'item': 63956030}, {'item': 77996914}, {'item': 93392186}, {'item': 23938381}, {'item': 53326977}, {'item': 93710391}, {'item': 48657785}, {'item': 86716090}, {'item': 18911587}, {'item': 30242747}, {'item': 1026431}, {'item': 8731181}, {'item': 14102177}, {'item': 16812923}, {'item': 25586401}, {'item': 3555977}, {'item': 80533345}, {'item': 55761954}, {'item': 94156373}, {'item': 36652851}, {'item': 3771791}, {'item': 80976543}, {'item': 46138713}, {'item': 45532480}, {'item': 37848344}, {'item': 8890800}, {'item': 33703925}, {'item': 54486829}, {'item': 38337501}, {'item': 76879765}, {'item': 63844978}, {'item': 28678332}, {'item': 46634111}, {'item': 25020123}, {'item': 26960614}, {'item': 71105232}, {'item': 38313505}, {'item': 7960733}, {'item': 49367746}, {'item': 22258043}, {'item': 77310421}, {'item': 67283701}, {'item': 82619461}, {'item': 73574494}, {'item': 60632781}, {'item': 17901520}, {'item': 13173118}, {'item': 6385709}, {'item': 93313725}]",Scope (computer science),Process management,Sustainability,['Climate Action'],Climate Action,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 5150, 'currency': 'USD', 'value_usd': 5150, 'provenance': 'doaj'}",Missing,-1.8943830338949954
