PMID,Author,Institution,City,State
94015363,Rui Cunha Marques,University of Lisbon,Lisboa,Portugal
94015363,Josè Rui Figueira,University of Lisbon,Lisboa,Portugal
33175214,Corina Berli,University of Zurich,Zürich,Switzerland
33175214,Philipp Schwaninger,University of Zurich,Zürich,Switzerland
33175214,Urte Scholz,University of Zurich,Zürich,Switzerland
77981828,Taraprasad Das,L V Prasad Eye Institute,,
77981828,Peter W. H. Holland,International Agency for the Prevention of Blindness,,
85486295,Surya Kant Pal,Chandigarh University,Chandigarh State,India
85486295,Ashok Kumar Pal,Manipal University Jaipur,Jaipur,India
20941311,Robert M. Siegel,Cincinnati Children's Hospital Medical Center,Cincinnati,United States
20941311,Katelyn Gordon,University of Cincinnati Medical Center,Cincinnati,United States
20941311,Linda Dynan,Cincinnati Children's Hospital Medical Center,Cincinnati,United States
253289,Muhammad Wasif Zafar,Shenzhen University,Shen Zhen Shi,China
253289,Avik Sinha,Beijing Institute of Technology,Beijing,China
253289,Zahoor Ahmed,Shenzhen University,Shen Zhen Shi,China
253289,Quande Qin,COMSATS University Islamabad,Islamabad,Pakistan
66444259,Attia Iram,Pennsylvania State University,State College,United States
66444259,Xinmiao Wang,Zhejiang Gongshang University,Hang Zhou Shi,China
66444259,Ali Demırcı,Pennsylvania State University,State College,United States
9668158,Abiodun Olusola Omotayo,North-West University,Potchefstroom,South Africa
9668158,Kehinde Oluseyi Olagunju,Agri Food and Biosciences Institute,Belfast,United Kingdom
9668158,Abeeb Babatunde Omotoso,International Institute of Tropical Agriculture,,
9668158,Adebayo Ogunniyi,Federal University of Agriculture,Abẹ́òkúta,Nigeria
23647130,Catherine Fallon Grasham,University of Oxford,Oxford,United Kingdom
23647130,Roger Calow,Overseas Development Institute,,
23647130,Vincent Casey,WaterAid,,
23647130,Katrina Charles,University of Oxford,Oxford,United Kingdom
23647130,Sara de Wit,University of Oxford,Oxford,United Kingdom
23647130,Ellen Dyer,University of Oxford,Oxford,United Kingdom
23647130,Jess Fullwood-Thomas,Oxfam,,
23647130,Mark Hirons,University of Oxford,Oxford,United Kingdom
23647130,Robert Hope,University of Oxford,Oxford,United Kingdom
23647130,Sonia Ferdous Hoque,University of Oxford,Oxford,United Kingdom
23647130,Wendy Jepson,Texas A&M University,College Station,United States
23647130,Marina Korzenevica,University of Oxford,Oxford,United Kingdom
23647130,Rebecca Murphy,Action for ME,,
23647130,John Plastow,Oxfam,,
23647130,Ian Ross,London School of Hygiene & Tropical Medicine,London,United Kingdom
23647130,Iñigo Ruiz-Apilánez,Arup Group (United Kingdom),Granton,United Kingdom
23647130,E. Lisa F. Schipper,University of Oxford,Oxford,United Kingdom
23647130,Joanne Trevor,Oxfam,,
23647130,N. Walmsley,HR Wallingford,Crowmarsh Gifford,United Kingdom
23647130,Hashim Zaidi,World Health Organization - Zimbabwe,Leopard,Zimbabwe
85384195,Aneesh A. Chand,University of the South Pacific,Suva,Fiji
85384195,Prashant P. Lal,University of the South Pacific,Suva,Fiji
85384195,Kushal A. Prasad,University of the South Pacific,Suva,Fiji
85384195,K. A. Mamun,University of the South Pacific,Suva,Fiji
56664156,Cecilia Tortajada,,,
54758320,Kirsty Upton,British Geological Survey,,
54758320,Alan MacDonald,British Geological Survey,,
26480738,Aneesh A. Chand,University of the South Pacific,Suva,Fiji
49311233,Debbie Goss,Soka University of America,Aliso Viejo,United States
29360330,Guéladio Cissé,University of Alicante,San Vicente del Raspeig,Spain
58292051,Mihaela Muntean,West University of Timişoara,Timișoara,Romania
58292051,Doina Dănăiaţă,West University of Timişoara,Timișoara,Romania
58292051,Luminiţa Hurbean,West University of Timişoara,Timișoara,Romania
98813260,Michael H. Stephenson,British Geological Survey,,
24599762,Keeara Bhagaloo,University of the West Indies,Kingston,Jamaica
24599762,Anastasia Baboolal,University of the West Indies,Kingston,Jamaica
24599762,Rehannah Ali,University of the West Indies,Kingston,Jamaica
24599762,Zaara Razac,University of the West Indies,Kingston,Jamaica
24599762,Andre Lutchmansingh,University of the West Indies,Kingston,Jamaica
24599762,Arun Mangra,University of the West Indies,Kingston,Jamaica
24599762,Muhammad Talha,University of the West Indies,Kingston,Jamaica
24599762,Keeran Ward,University of the West Indies,Kingston,Jamaica
76473433,Kalingga Titon Nur Ihsan,Bandung Institute of Technology,Bandung,Indonesia
76473433,Elstri Sihotang,Bandung Institute of Technology,Bandung,Indonesia
76473433,Tania Septi Anggraini,Bandung Institute of Technology,Bandung,Indonesia
40182362,Halliki Kreinin,Vienna University of Economics and Business,Wien,Austria
40182362,Ernest Aigner,Vienna University of Economics and Business,Wien,Austria
91157105,Lars Carlsen,,,
71238658,Katrien An Heirman,British Geological Survey,,
72395519,Omeh Christian Basil,University of Nigeria,Nsukka,Nigeria
72395519,Ebele Nwokoye,Nnamdi Azikiwe University,Awka,Nigeria
72395519,Ebikabowei Biedomo,Nnamdi Azikiwe University,Awka,Nigeria
16050552,Mikovhe Maphiri,University of Cape Town,Cape Town,South Africa
16050552,Matsietso Agnes Matasane,University of Pretoria,Pretoria,South Africa
16050552,Godknows Mudimu,University of Cape Town,Cape Town,South Africa
51522010,Isabelle Schluep,,,
51522010,Philipp Aerni,,,
51522010,Marianthe Stavridou,,,
90022811,David Mhlanga,University of Johannesburg,Johannesburg,South Africa
58015023,Noralfishah Sulaiman,Tun Hussein Onn University of Malaysia,Parit Raja,Malaysia
58015023,Nur Putri Najwa Mahmud,Tun Hussein Onn University of Malaysia,Parit Raja,Malaysia
58015023,Umber Nazir,Tun Hussein Onn University of Malaysia,Parit Raja,Malaysia
58015023,Siti Kursiah Kamalia binti Abdul Latib,Tun Hussein Onn University of Malaysia,Parit Raja,Malaysia
58015023,Haridzah Fathini binti Muhammad Hafidz,Tun Hussein Onn University of Malaysia,Parit Raja,Malaysia
58015023,Sheikh Kamran Abid,Tun Hussein Onn University of Malaysia,Parit Raja,Malaysia
42568236,Abubakar Jamilu Baita,Maitama Sule University Kano,Kano,Nigeria
42568236,Hassan Suleiman,National Universities Commission,,
10130325,Ruslan Skrynkovskyy,Lviv University of Business and Law,L'viv,Ukraine
10130325,Nazar Podolchak,Lviv University,L'viv,Ukraine
10130325,Yana Levytska,Lviv Polytechnic National University,L'viv,Ukraine
10130325,Iryna Konovalyuk,Lviv Polytechnic National University,L'viv,Ukraine
76714779,Siao Sun,Institute of Geographic Sciences and Natural Resources Research,,
76714779,Xian Jun Zhou,Chinese Academy of Sciences,Beijing,China
76714779,Haixing Liu,University of Chinese Academy of Sciences,Beijing,China
76714779,Yunzhong Jiang,Dalian University of Technology,Da Lian Shi,China
76714779,Huicheng Zhou,Dalian University of Technology,Da Lian Shi,China
76714779,Chi Zhang,China Institute of Water Resources and Hydropower Research,Beijing,China
76714779,Guangtao Fu,Dalian University of Technology,Da Lian Shi,China
3278471,Rebecca Geary,University of Liverpool,Liverpool,United Kingdom
3278471,Benedict W. Wheeler,University of Exeter,Exeter,United Kingdom
3278471,Rebecca Lovell,University of Exeter,Exeter,United Kingdom
3278471,Ruth Jepson,University of Edinburgh,Edinburgh,United Kingdom
3278471,Ruth F. Hunter,Queen's University Belfast,Belfast,United Kingdom
3278471,Sarah Rodgers,University of Liverpool,Liverpool,United Kingdom
50211028,Batara Surya,Universitas Bosowa,Makassar,Indonesia
50211028,Seri Suriani,Universitas Bosowa,Makassar,Indonesia
50211028,Firman Menne,Universitas Bosowa,Makassar,Indonesia
50211028,Herminawaty Abubakar,Universitas Bosowa,Makassar,Indonesia
50211028,Muhammad Idris,Universitas Bosowa,Makassar,Indonesia
50211028,Emil Salim Rasyidi,Universitas Bosowa,Makassar,Indonesia
50211028,Hasanuddin Remmang,Universitas Bosowa,Makassar,Indonesia
65677485,Irati Otamendi-Irizar,University of the Basque Country,Leioa,Spain
65677485,Olatz Grijalba,University of the Basque Country,Leioa,Spain
65677485,Alba Arias,University of the Basque Country,Leioa,Spain
65677485,Claudia Pennese,University of the Basque Country,Leioa,Spain
33087531,Mochamad Arief Budihardjo,Diponegoro University,,Indonesia
33087531,Septa Yudha Ardiansyah,Diponegoro University,,Indonesia
33087531,Bimastyaji Surya Ramadan,Diponegoro University,,Indonesia
42853059,Terence Fell,Mälardalen University,Västerås,Sweden
42853059,Johanna Mattsson,Mälardalen University,Västerås,Sweden
62487502,Jianbo Han,Hong Kong Polytechnic University,Hong Kong,Hong Kong
62487502,Edwin H.W. Chan,Hong Kong Polytechnic University,Hong Kong,Hong Kong
62487502,Queena K. Qian,Delft University of Technology,Delft,Netherlands
62487502,Esther H.K. Yung,Hong Kong Polytechnic University,Hong Kong,Hong Kong
1118383,Stephan Barthel,,,
1118383,Johan Colding,,,
1118383,Anne-Sofie Hiswåls,,,
1118383,Peder Thalén,,,
1118383,Päivi Turunen,,,
50993096,Elizabeth Schenk,,,
50993096,Teddie Potter,,,
50993096,Cara Cook,,,
50993096,Katie Huffling,,,
50993096,William E. Rosa,,,
2898962,Jubin Jacob-John,La Trobe University,,
2898962,Clare D’Souza,La Trobe University,,
2898962,Timothy Marjoribanks,Swinburne University of Technology,,
2898962,Stephen Singaraju,La Trobe University,,
43441381,Jennifer R. Whitson,University of Waterloo,Waterloo,Canada
43441381,Martin French,Concordia University,Montreal,Canada
94077200,Lars Carlsen,,,
80636741,Lucreția Dogaru,"Universitatea de Medicină, Farmacie, Științe și Tehnologie „George Emil Palade” din Târgu Mureș",Târgu Mureș,Romania
17527047,Ritanara Tayane Bianchet,Universidade do Sul de Santa Catarina,Tubarão,Brazil
17527047,Ana Paula Provin,Universidade do Sul de Santa Catarina,Tubarão,Brazil
17527047,Valeria Isabela Beattie,George Washington University,Washington,United States
17527047,José Baltazar Salgueirinho Osório de Andrade Guerra,Universidade do Sul de Santa Catarina,Tubarão,Brazil
2694801,Ana María Gómez-Trujillo,Ceipa University Foundation,,
2694801,Juan Vélez-Ocampo,Universidad de Antioquia,Medellín,Colombia
2694801,Sergio A. Castrillón-Orrego,Universidad EAFIT,Medellín,Colombia
2694801,Alejandro Álvarez,Universidad EAFIT,Medellín,Colombia
2694801,Eva Cristina Manotas,Universidad Nacional de Colombia,Ansermanuevo,Colombia
45694599,Siew Wei Yeong,Forest Department Sarawak,Kuching,Malaysia
45694599,Mukvinder Kaur Sandhu,Forest Department Sarawak,Kuching,Malaysia
45694599,Hiram Ting,UCSI University,Kuala Lumpur,Malaysia
70324202,Bhavya Kavitha Dwarapureddi,Banaras Hindu University,Varanasi,India
6765211,Narcisa Requelme,Universidad Politécnica de Madrid,Madrid,Spain
6765211,Ana Afonso,Politecnica Salesiana University,Cuenca,Ecuador
56782841,Yogesh K. Dwivedi,Symbiosis International University,,
56782841,Laurie Hughes,Swansea University,,
56782841,Arpan Kumar Kar,Swansea University,,
56782841,Abdullah M. Baabdullah,Indian Institute of Technology Delhi,New Delhi,India
56782841,Purva Grover,King Abdulaziz University,,
56782841,Roba Abbas,International Management Institute,New Delhi,India
56782841,Daniela Andreini,University of Wollongong,Wollongong,Australia
56782841,Iyad Abumoghli,University of Bergamo,Bergamo,Italy
56782841,Yves Barlette,United Nations,,
56782841,Deborah Bunker,Montpellier Business School,Montpellier,France
56782841,Leona Chandra Kruse,University of Sydney,Camperdown,Australia
56782841,Ioanna Constantiou,Taronga Conservation Society Australia,Ghan,Australia
56782841,Robert M. Davison,University of Liechtenstein,Vaduz,Liechtenstein
56782841,Rahul Dé,Copenhagen Business School,Frederiksberg,Denmark
56782841,Rameshwar Dubey,City University of Hong Kong,Hong Kong,Hong Kong
56782841,Henry Fenby-Taylor,Indian Institute of Management Bangalore,Bengaluru,India
56782841,Babita Gupta,Liverpool John Moores University,Liverpool,United Kingdom
56782841,Wu He,University of Cambridge,Cambridge,United Kingdom
56782841,Mitsuru Kodama,"California State University, Monterey Bay",Seaside,United States
56782841,Matti Mäntymäki,Decision Sciences (United States),Almont,United States
56782841,Bhimaraya Metri,Old Dominion University,Norfolk,United States
56782841,Katina Michael,Nihon University,Chiyoda City,Japan
56782841,Johan Olaisen,University of Turku,Turku,Finland
56782841,Niki Panteli,Indian Institute of Management Ahmedabad,Ahmedabad,India
56782841,Samuli Pekkola,Arizona State University,Tempe,United States
56782841,Rohit Nishant,Institute for the Future,Palo Alto,United States
56782841,Ramakrishnan Raman,BI Norwegian Business School,Oslo,Norway
56782841,Nripendra P. Rana,Royal Holloway University of London,Egham,United Kingdom
56782841,Frantz Rowe,Tampere University,Tampere,Finland
56782841,Suprateek Sarker,Université Laval,Québec,Canada
56782841,Brenda Scholtz,Symbiosis International University,,
56782841,Maung K. Sein,Qatar University,Doha,Qatar
56782841,Jeel Dharmeshkumar Shah,SKEMA Business School,,
56782841,Thompson S.H. Teo,University of Virginia,Charlottesville,United States
56782841,Manoj Kumar Tiwari,Nelson Mandela University,Gqeberha,South Africa
56782841,Morten Thanning Vendelø,University of South-Eastern Norway,Notodden,Norway
56782841,Michael Wade,Høyskolen Kristiania,Oslo,Norway
35742612,Samantha K. Stanley,Australian National University,Canberra,Australia
35742612,Teaghan L. Hogg,University of Canberra,Bruce,Australia
35742612,Zoe Leviston,Edith Cowan University,Joondalup,Australia
35742612,Iain Walker,Australian National University,Canberra,Australia
75384047,Bjoern Soergel,Potsdam Institute for Climate Impact Research,Potsdam,Germany
75384047,Elmar Kriegler,Leibniz Association,,
75384047,Isabelle Weindl,Potsdam Institute for Climate Impact Research,Potsdam,Germany
75384047,Sebastian Rauner,Leibniz Association,,
75384047,Alois Dirnaichner,Potsdam Institute for Climate Impact Research,Potsdam,Germany
75384047,Constantin Ruhe,Leibniz Association,,
75384047,Matthias Hofmann,Potsdam Institute for Climate Impact Research,Potsdam,Germany
75384047,Nico Bauer,Leibniz Association,,
75384047,Christoph Bertram,Potsdam Institute for Climate Impact Research,Potsdam,Germany
75384047,Benjamin Leon Bodirsky,Leibniz Association,,
75384047,Marian Leimbach,Goethe University Frankfurt,Frankfurt am Main,Germany
75384047,Julia Leininger,Potsdam Institute for Climate Impact Research,Potsdam,Germany
75384047,Antoine Levesque,Leibniz Association,,
75384047,Gunnar Luderer,Potsdam Institute for Climate Impact Research,Potsdam,Germany
75384047,Michaja Pehl,Leibniz Association,,
75384047,Christopher Wingens,Potsdam Institute for Climate Impact Research,Potsdam,Germany
75384047,Lavinia Baumstark,Leibniz Association,,
75384047,Felicitas Beier,Potsdam Institute for Climate Impact Research,Potsdam,Germany
75384047,Jan Philipp Dietrich,Leibniz Association,,
75384047,Florian Humpenöder,Leibniz Association,,
75384047,Patrick von Jeetze,Potsdam Institute for Climate Impact Research,Potsdam,Germany
75384047,David Klein,German Institute of Development and Sustainability,Bonn,Germany
75384047,Johannes Koch,Potsdam Institute for Climate Impact Research,Potsdam,Germany
75384047,Robert Pietzcker,Leibniz Association,,
75384047,Jessica Strefler,Potsdam Institute for Climate Impact Research,Potsdam,Germany
75384047,Hermann Lotze‐Campen,Leibniz Association,,
75384047,Alexander Popp,Potsdam Institute for Climate Impact Research,Potsdam,Germany
6742999,Tobias Brosch,University of Geneva,Geneva,Switzerland
85384195,Aneesh A. Chand,University of the South Pacific,Suva,Fiji
85384195,Prashant P. Lal,University of the South Pacific,Suva,Fiji
85384195,Kushal A. Prasad,University of the South Pacific,Suva,Fiji
85384195,K. A. Mamun,University of the South Pacific,Suva,Fiji
26480738,Aneesh A. Chand,University of the South Pacific,Suva,Fiji
95070809,Mykola Rudenko,Volodymyr Dahl East Ukrainian National University,Luhans'k,Ukraine
95070809,I.M. Malinovska,Yaroslav Mudryi National Law University,Kharkiv,Ukraine
95070809,Serhii Kravtsov,Yaroslav Mudryi National Law University,Kharkiv,Ukraine
36216145,Roshan Kumar Singh,National Institute of Plant Genome Research,,
36216145,Nese Sreenivasulu,International Rice Research Institute,,
36216145,Manoj Prasad,University of Hyderabad,Hyderabad,India
79416166,Naveen Kumar Arora,Babasaheb Bhimrao Ambedkar University,Lucknow,India
79416166,Isha Mishra,Babasaheb Bhimrao Ambedkar University,Lucknow,India
9184414,Xi Chen,Southwest University,El Paso,United States
9184414,Chenyang Shuai,Chongqing University,Chongqing,China
9184414,Ya Wu,University of Michigan–Ann Arbor,Ann Arbor,United States
82727487,Vasilii Erokhin,Harbin Engineering University,Ha Er Bin Shi,China
82727487,Gao Tianming,Harbin Engineering University,Ha Er Bin Shi,China
82727487,Luminiţa Chivu,Romanian Academy,București,Romania
82727487,Jean Vasile Andrei,Romanian Academy,București,Romania
64861488,Koen Peters,World Food Programme,,
64861488,Sérgio Silva,Tilburg University,Tilburg,Netherlands
64861488,Tim Sergio Wolter,World Food Programme,,
64861488,Luis Anjos,World Food Programme,,
64861488,Nina van Ettekoven,World Food Programme,,
64861488,Éric Combette,World Food Programme,,
64861488,Anna Melchiori,World Food Programme,,
64861488,Hein Fleuren,World Food Programme,,
64861488,Dick den Hertog,Tilburg University,Tilburg,Netherlands
64861488,Özlem Ergün,University of Amsterdam,Amsterdam,Netherlands
10453979,James Hansen,Columbia University,New York,United States
10453979,Geneva List,Columbia University,New York,United States
10453979,Shauna Downs,"Rutgers, The State University of New Jersey",New Brunswick,United States
10453979,Edward R. Carr,Clark University,Worcester,United States
10453979,Rahel Diro,Tetra Tech (United States),Almont,United States
10453979,Walter Baethgen,Columbia University,New York,United States
10453979,Andrew Kruczkiewicz,Columbia University,New York,United States
10453979,Mélody Braun,Climate Centre,,
10453979,John Furlow,Columbia University,New York,United States
10453979,Kayla Walsh,Columbia University,New York,United States
10453979,Nitin Magima,Tufts University,Medford,United States
48408156,Caiyun Liu,Guangdong University of Finance,Guang Zhou Shi,China
48408156,Hui Jiang,South China Normal University,,
48408156,Daniel Bădulescu,University of Oradea,Oradea,Romania
48408156,Dorin Bâc,University of Oradea,Oradea,Romania
75754554,Jalini Kaushalya Galabada,International University of Japan,Minamiuonuma,Japan
50418518,A. Mushtaq,University of Nebraska–Lincoln,Lincoln,United States
67996373,Nurfadzilah Ahmad,Universiti Teknologi MARA,Shah Alam,Malaysia
67996373,Jovana Vunduk,Institute of General and Physical Chemistry,,
67996373,Anita Klaus,University of Belgrade,Beograd,Serbia
67996373,Nofri Yenita Dahlan,Universiti Teknologi MARA,Shah Alam,Malaysia
67996373,Soumya Ghosh,Edinburgh Napier University,Edinburgh,United Kingdom
67996373,Firdaus Muhammad‐Sukki,University of Technology Malaysia,Skudai,Malaysia
67996373,Laurent Dufossé,Technological University of the Shannon: Midlands Midwest,,
67996373,Nurul Aini Bani,Universiti Teknologi MARA,Shah Alam,Malaysia
67996373,Wan Abd Al Qadr Imad Wan‐Mohtar,University of Malaya,Kuala Lumpur,Malaysia
72152413,Marcello Iriti,University of Milan,Milano,Italy
72152413,Sara Vitalini,University of Naples Federico II,Napoli,Italy
72152413,Elena Maria Varoni,National Interuniversity Consortium of Materials Science and Technology,,
64049657,G Venkatesh,Karlstad University,Karlstad,Sweden
78884448,Birgit Leimer,Johannes Gutenberg University Mainz,Mainz,Germany
78884448,Reyn van Ewijk,Johannes Gutenberg University Mainz,Mainz,Germany
36029430,Fiona Given,University of Technology Sydney,Ultimo,Australia
36029430,Meredith Allan,University of Technology Sydney,Ultimo,Australia
36029430,Shaun McCarthy,University of Newcastle Australia,Callaghan,Australia
36029430,Bronwyn Hemsley,University of Technology Sydney,Ultimo,Australia
32948237,Rulina Viloria,T.K.M. College of Arts and Science,Kollam,India
63003705,Luísa Sório Flor,University of Washington,Seattle,United States
63003705,Joseph Friedman,Institute for Health Metrics and Evaluation,,
63003705,Cory N Spencer,Institute for Health Metrics and Evaluation,,
63003705,Jack Cagney,University of Washington,Seattle,United States
63003705,Alejandra Arrieta,Institute for Health Metrics and Evaluation,,
63003705,Molly E Herbert,University of Washington,Seattle,United States
63003705,Caroline Stein,University of Washington,Seattle,United States
63003705,Erin C Mullany,Institute for Health Metrics and Evaluation,,
63003705,Julia Hon,Institute for Health Metrics and Evaluation,,
63003705,Vedavati Patwardhan,University of Washington,Seattle,United States
63003705,Ryan M Barber,University of Washington,Seattle,United States
63003705,James K. Collins,Institute for Health Metrics and Evaluation,,
63003705,Simon I Hay,Institute for Health Metrics and Evaluation,,
63003705,Stephen S Lim,University of Washington,Seattle,United States
63003705,Rafael Lozano,Institute for Health Metrics and Evaluation,,
63003705,Ali H. Mokdad,University of Washington,Seattle,United States
63003705,Christopher J L Murray,Institute for Health Metrics and Evaluation,,
63003705,Robert C. Reiner,University of Washington,Seattle,United States
63003705,Reed J D Sorensen,Institute for Health Metrics and Evaluation,,
63003705,Annie Haakenstad,University of Washington,Seattle,United States
63003705,David M. Pigott,Institute for Health Metrics and Evaluation,,
63003705,Emmanuela Gakidou,University of Washington,Seattle,United States
91396544,Sinan Küfeoğlu,University of Cambridge,Cambridge,United Kingdom
69129651,Adhena Ayaliew Werkneh,Mekelle University,Mekele,Ethiopia
69129651,Shifare Berhe Gebru,Mekelle University,Mekele,Ethiopia
18104232,B. M. Shehu,University of Waterloo,Waterloo,Canada
18104232,Fibha Nazim,University of Waterloo,Waterloo,Canada
67639866,Riya Bhattacharya,Shoolini University,Bajhol,India
67639866,Archana Kumari,Magadh University,Bodh Gaya,India
67639866,Debajyoti Bose,Shoolini University,Bajhol,India
80016446,Venkatesh Baskaran,"Government College of Engineering, Tirunelveli",Tirunelveli,India
20984518,Venkatesh Baskaran,"Government College of Engineering, Tirunelveli",Tirunelveli,India
34065513,Beauty Zindi,University of Fort Hare,Dikeni,South Africa
34065513,Elvin Shava,University of Johannesburg,Johannesburg,South Africa
52202332,Romesh Sharma,University of Jammu,Jammu,
52202332,Om Raj Katoch,University of Jammu,Jammu,
83720665,Sidik Budiono,Pelita Harapan University,,Indonesia
83720665,John Tampil Purba,Pelita Harapan University,,Indonesia
55660054,Putri S Kamila,Bandung Institute of Technology,Bandung,Indonesia
55660054,Indah Rachmatiah Siti Salami,Bandung Institute of Technology,Bandung,Indonesia
99806073,Radosław Miśkiewicz,University of Szczecin,Szczecin,Poland
42986720,M. Jayachandran,Sri Manakula Vinayagar Medical College and Hospital,Kalitheerthalkuppam,India
42986720,Ranjith Kumar Gatla,G Pulla Reddy Dental College & Hospital,Kurnool,India
42986720,K. P. Prasad Rao,CMR University,Bengaluru,India
42986720,Gundala Srinivasa Rao,King Abdulaziz University,,
42986720,Salisu Mohammed,King Abdulaziz University,,
64093385,Oluleke Babayomi,National Space Research and Development Agency,,
64093385,Davo Ayuba Dahoro,Shandong University,Ji Nan Shi,China
64093385,Zhenbin Zhang,Shandong University,Ji Nan Shi,China
95393274,Velma Mukoro,Tyndall Centre,,
95393274,Maria Sharmina,University of Manchester,Manchester,United Kingdom
95393274,Alejandro Gallego‐Schmid,University of Manchester,Manchester,United Kingdom
16767029,Omojola Awogbemi,University of Johannesburg,Johannesburg,South Africa
16767029,Daramy Vandi Von Kallon,University of Johannesburg,Johannesburg,South Africa
79214046,Sanjeet Singh,Chandigarh University,Chandigarh State,India
79214046,Jayaram Ru,Chandigarh University,Chandigarh State,India
33528129,Jana Chovancová,University of Prešov,Prešov,Slovakia
33528129,Roman Vavrek,VSB - Technical University of Ostrava,Ostrava,Czechia
25362619,Sinan Küfeoğlu,University of Cambridge,Cambridge,United Kingdom
27372256,Om Raj Katoch,University of Jammu,Jammu,
27372256,Shallu Sehgal,University of Jammu,Jammu,
27372256,Romesh Sharma,University of Jammu,Jammu,
27372256,Ashraz Nawaz,University of Jammu,Jammu,
33904581,Knawang Chhunji Sherpa,National Institute for Interdisciplinary Science and Technology,Thiruvananthapuram,India
33904581,Gour Gopal Satpati,University of Calcutta,Kolkata,India
33904581,Navonil Mal,University of Calcutta,Kolkata,India
33904581,Agatha Sylvia Khalko,Ranchi University,Ranchi,India
33904581,Rajiv Chandra Rajak,Ranchi University,Ranchi,India
52836231,Rick van Loenhout,University of Twente,Enschede,Netherlands
52836231,Champika Ranasinghe,University of Twente,Enschede,Netherlands
52836231,Auriol Degbelo,University of Münster,Münster,Germany
52836231,Nacir Bouali,University of Twente,Enschede,Netherlands
42279141,Dalia Štreimikienė,Mykolas Romeris University,,
24644790,Mithatcan Aydos,,,
24644790,Perrine Toledano,,,
24644790,Martin Dietrich Brauch,,,
24644790,Ladan Mehranvar,,,
24644790,Theodoros G. Iliopoulos,,,
24644790,Sunayana Sasmal,,,
73820868,Sinan Küfeoğlu,University of Cambridge,Cambridge,United Kingdom
23715538,Viktorija Skvarciany,Vilnius Gediminas Technical University,Vilnius,Lithuania
23715538,Kristina Astikė,Vilnius Gediminas Technical University,Vilnius,Lithuania
2501905,Shirsendu Nandi,Fore School of Management,New Delhi,India
2501905,Chetna Chauhan,Universidad de Los Andes,Bogotá,Colombia
20764587,Firdous Ahmed Shehri,Bahria University,Islamabad,Pakistan
20764587,Talat Rehman,Bahria University,Islamabad,Pakistan
20764587,Maleeha Mansoor,Bahria University,Islamabad,Pakistan
20764587,Osman Bin Saif,Bahria University,Islamabad,Pakistan
20543292,Rofikoh Rokhim,University of Indonesia,Depok,Indonesia
20543292,Ima Mayasari,University of Indonesia,Depok,Indonesia
20543292,Permata Wulandari,University of Indonesia,Depok,Indonesia
85027573,Renata Vardanega,,,
85027573,J. Felipe Osorio-Tobón,,,
85027573,Kura Duba,,,
99317552,Bunga Putri Nauli,University of Indonesia,Depok,Indonesia
49334030,Christoph Lakner,World Bank,,
49334030,Daniel Gerszon Mahler,World Bank,,
49334030,Mario Negre,World Bank,,
49334030,Espen Beer Prydz,World Bank,,
49982275,Jarosław Wątróbski,University of Szczecin,Szczecin,Poland
49982275,Aleksandra Bączkiewicz,University of Szczecin,Szczecin,Poland
49982275,Ewa Ziemba,University of Economics in Katowice,Katowice,Poland
49982275,Wojciech Sałabun,National Institute of Telecommunications,Warszawa,Poland
39711260,Kim Irvine,Thammasat University,,
39711260,Asan Suwanarit,Thammasat University,,
39711260,Fa Likitswat,Thammasat University,,
39711260,Hansa Srilertchaipanij,Thammasat University,,
39711260,Massimo Ingegno,Thammasat University,,
39711260,Peeradorn Kaewlai,Thammasat University,,
39711260,Pranisa Boonkam,Thammasat University,,
39711260,Nij Tontisirin,Thammasat University,,
39711260,Alisa Sahavacharin,Thammasat University,,
39711260,Jitiporn Wongwatcharapaiboon,Thammasat University,,
39711260,Shusak Janpathompong,Chulalongkorn University,,
18287629,Karolina M. Zielińska-Dabkowska,Gdańsk University of Technology,Gdańsk,Poland
39241984,Ataul Karim Patwary,Universiti Malaysia Kelantan,Kota Bharu,Malaysia
96388972,Biagio F. Giannetti,Universidade Paulista,,
96388972,Fernando J. Díaz López,Beijing Normal University,Beijing,China
96388972,Gengyuan Liu,Stellenbosch University,Stellenbosch,South Africa
96388972,Feni Agostinho,Beijing Normal University,Beijing,China
96388972,Fábio Sevegnani,Universidade Paulista,,
96388972,C.M.V.B. Almeida,Beijing Normal University,Beijing,China
16834590,Maria Lisa Clodoveo,University of Bari Aldo Moro,Bari,Italy
16834590,Elvira Tarsitano,University of Bari Aldo Moro,Bari,Italy
16834590,Pasquale Crupi,University of Bari Aldo Moro,Bari,Italy
16834590,Loris Pasculli,University of Bari Aldo Moro,Bari,Italy
16834590,Prisco Piscitelli,University of Milan,Milano,Italy
16834590,Alessandro Miani,University of Bari Aldo Moro,Bari,Italy
6305217,Ruchi Mishra,Institute of Rural Management Anand,Anand,India
6305217,Rajesh Kumar Singh,Management Development Institute,Gurugram,India
6305217,Nachiappan Subramanian,University of Sussex,Falmer,United Kingdom
9436258,Franklin Córdova-Buiza,Private University of the North,,
9436258,Alberto Paucar‐Caceres,Manchester Metropolitan University,Manchester,United Kingdom
9436258,Silvia Cristina Quispe‐Prieto,Jorge Basadre Grohmann National University,Tacna,Peru
9436258,Andrea Pierina Rivera-Garré,Private University of the North,,
9436258,Lucero Nicole Huerta‐Tantalean,Universidad Privada de Tacna,Tacna,Peru
