PMID,year,type,num_citations,num_authors,authors,institutions,c04_referencelist,subfield,field,domain,sustainable_development_goals,keyword_analysis,collaborative_index,license,journal_impact_factor,citations_geographical,page_count,publisher,apc_paid,open_access_status,Novelty
27745570,2016,review,28,3,"['Rosemary Ogu', 'Kingsley Agholor', 'Friday Okonofua']","['University of Benin', 'Rivers State University', 'University of Port Harcourt', 'Delta State University', 'University of Benin', 'University of Benin', 'Social Action', 'University of Medical Sciences, Ondo', 'Ondo State University of Science and Technology']","[{'item': 21077237}, {'item': 1288202}, {'item': 76681837}, {'item': 58834634}, {'item': 41776733}, {'item': 46995268}, {'item': 40581097}, {'item': 720265}, {'item': 57119164}, {'item': 76149198}, {'item': 52973299}, {'item': 67958158}, {'item': 22140871}, {'item': 61945433}, {'item': 68259507}, {'item': 34007474}, {'item': 18988289}]",Millennium Development Goals,Sociocultural evolution,Economic growth,[],Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,0.6325225587435105
61238967,2017,article,124,2,"['Yara M. Asi', 'Cynthia Williams']","['University of Central Florida', 'University of North Florida']","[{'item': 74837592}, {'item': 26360449}, {'item': 54136157}, {'item': 77577506}, {'item': 50857428}, {'item': 4920746}, {'item': 539534}, {'item': 29037741}, {'item': 97977346}, {'item': 1290007}, {'item': 9808070}, {'item': 68833419}, {'item': 88198959}, {'item': 83346357}, {'item': 96750657}, {'item': 21577978}, {'item': 84382473}, {'item': 30376833}, {'item': 25314745}, {'item': 35402546}, {'item': 60102947}, {'item': 93302134}, {'item': 5184783}, {'item': 26766123}, {'item': 48648451}, {'item': 13407638}, {'item': 81073307}, {'item': 26247681}, {'item': 92406509}, {'item': 87984515}, {'item': 31259489}, {'item': 90118488}, {'item': 58341310}, {'item': 98865187}, {'item': 97341241}, {'item': 56049890}, {'item': 59522190}, {'item': 50094551}, {'item': 97584442}, {'item': 40520423}, {'item': 15770321}, {'item': 87607766}, {'item': 18470370}, {'item': 11260283}, {'item': 64674103}, {'item': 74432956}, {'item': 25905701}, {'item': 86912429}, {'item': 23247529}, {'item': 69645675}, {'item': 73451716}, {'item': 99892719}, {'item': 32646034}, {'item': 76221733}, {'item': 51535754}, {'item': 96105521}, {'item': 79624894}, {'item': 36259232}, {'item': 5263024}, {'item': 6671843}, {'item': 64845300}, {'item': 55296533}, {'item': 62131631}, {'item': 68571986}, {'item': 98667063}, {'item': 88405124}, {'item': 83747078}, {'item': 19613012}, {'item': 46601948}, {'item': 90926565}, {'item': 46386553}]",Digital health,Health care,Sustainable development,"[{'score': 0.42, 'id': 'https://metadata.un.org/sdg/17', 'display_name': 'Partnerships for the goals'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,0.5450791022445302
21423142,2017,review,33,1,['Gabriel Seidman'],['Harvard University'],"[{'item': 76784271}, {'item': 40329888}, {'item': 9305046}, {'item': 40726152}, {'item': 12584104}, {'item': 56682878}, {'item': 18647626}, {'item': 59240521}]",Computer science,MEDLINE,Medicine,"[{'score': 0.53, 'id': 'https://metadata.un.org/sdg/17', 'display_name': 'Partnerships for the goals'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 1200, 'currency': 'USD', 'value_usd': 1200, 'provenance': 'doaj'}",Missing,-4.060091083743561
43241053,2017,article,10,1,['Elizabeth Eckermann'],['Deakin University'],"[{'item': 75335958}, {'item': 78030407}, {'item': 7856514}, {'item': 56957735}, {'item': 90577225}, {'item': 22926109}, {'item': 85686288}, {'item': 74391640}, {'item': 64086906}, {'item': 61747372}, {'item': 23363386}, {'item': 3667009}, {'item': 37373419}, {'item': 52327772}, {'item': 41910040}, {'item': 96648917}, {'item': 25380503}, {'item': 6372075}, {'item': 89789269}, {'item': 89926771}, {'item': 7467328}, {'item': 27208855}, {'item': 22506961}, {'item': 28525391}, {'item': 74240915}, {'item': 94278994}]",Globe,Window of opportunity,Sustainable development,"[{'score': 0.4, 'id': 'https://metadata.un.org/sdg/13', 'display_name': 'Climate action'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-1.5141597321177864
1653248,2017,article,0,0,[],[],"[{'item': 45755950}, {'item': 20485670}, {'item': 27345441}]",Quality of Life Research,Health economics,Public health,[],Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-6.565617020734297
73815642,2018,article,17,7,"['Ente Rood', 'Ahmadul Hasan Khan', 'Pronab Kumar Modak', 'Christina Mergenthaler', 'Margo van Gurp', 'Lucie Blok', 'Mirjam I. Bakker']","['Royal Tropical Institute', 'Directorate General of Health Services', 'Directorate General of Health Services', 'Royal Tropical Institute', 'Royal Tropical Institute', 'Royal Tropical Institute', 'Royal Tropical Institute']","[{'item': 55516695}, {'item': 70965849}, {'item': 47208945}, {'item': 27611252}, {'item': 36816551}, {'item': 72051550}, {'item': 62472358}, {'item': 85433317}, {'item': 84735308}, {'item': 19929774}, {'item': 75788530}, {'item': 72397983}, {'item': 62401034}, {'item': 61149804}, {'item': 45869424}, {'item': 88211747}, {'item': 90100089}, {'item': 80871553}, {'item': 39998154}, {'item': 20230735}, {'item': 33061615}]",Proxy (statistics),Spatial analysis,Context (archaeology),"[{'score': 0.75, 'id': 'https://metadata.un.org/sdg/1', 'display_name': 'No poverty'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 1400, 'currency': 'CHF', 'value_usd': 1515, 'provenance': 'doaj'}",Missing,0.6443570163905132
79147644,2019,article,44,14,"['Philippa Druce', 'Ekaterina Bogatyreva', 'Frederik Francois Siem', 'Scott Gates', 'Hanna Kaade', 'Johanne Sundby', 'Morten Rostrup', 'C B Andersen', 'Siri Aas Rustad', 'Andrew E. Yaw Tchie', 'Robert Mood', 'Håvard Mokleiv Nygård', 'Henrik Urdal', 'Andrea S. Winkler']","['University of Oslo', 'University of Oslo', 'Norges Røde Kors', 'Peace Research Institute Oslo', 'University of Oslo', 'Ministry of Foreign Affairs', 'Peace Research Institute Oslo', 'Norges Røde Kors', 'Peace Research Institute Oslo', 'Peace Research Institute Oslo', 'University of Oslo']","[{'item': 62069095}, {'item': 91032968}, {'item': 9903216}, {'item': 94953504}, {'item': 50102273}]",Health care,Public health,Health services research,"[{'score': 0.61, 'id': 'https://metadata.un.org/sdg/17', 'display_name': 'Partnerships for the goals'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 1990, 'currency': 'GBP', 'value_usd': 2440, 'provenance': 'doaj'}",Missing,-6.230112284958157
72868895,2019,article,22,8,"['Vesna Bjegović-Mikanović', 'Zeyad Ali Salem Abousbie', 'Juergen Breckenkamp', 'Helmut Wenzel', 'Raphaël Broniatowski', 'Chase W. Nelson', 'Dejana Vuković', 'Ulrich Laaser']","['University of Belgrade', 'University of Belgrade', 'Bielefeld University', 'University of Konstanz', 'University of Belgrade', 'Bielefeld University']","[{'item': 46262348}, {'item': 83113586}, {'item': 11009194}, {'item': 32365249}, {'item': 70079996}, {'item': 3718251}, {'item': 50019238}, {'item': 36263450}, {'item': 3690284}, {'item': 74926055}, {'item': 79962274}, {'item': 3350558}, {'item': 7761407}, {'item': 74773480}, {'item': 19818783}, {'item': 70010812}, {'item': 75610310}, {'item': 19055085}, {'item': 30058024}, {'item': 87558099}, {'item': 69285826}, {'item': 62281947}, {'item': 78692481}, {'item': 27345441}, {'item': 61150048}, {'item': 46659334}, {'item': 66159598}, {'item': 16062645}, {'item': 71426331}, {'item': 64805316}, {'item': 27112614}, {'item': 63556098}, {'item': 19613012}, {'item': 64217794}, {'item': 76698798}]",Millennium Development Goals,Child mortality,Health indicator,"[{'score': 0.74, 'id': 'https://metadata.un.org/sdg/3', 'display_name': 'Good health and well-being'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 2052, 'currency': 'EUR', 'value_usd': 2213, 'provenance': 'openapc'}",Missing,-1.9499799579656154
17559024,2019,article,13,2,"['Lorren K. Haywood', 'Caradee Y. Wright']",[],"[{'item': 57288726}, {'item': 95637584}, {'item': 75715937}, {'item': 95432956}, {'item': 50061296}, {'item': 52921423}, {'item': 31525637}, {'item': 81234402}, {'item': 41118761}, {'item': 26882492}, {'item': 48467266}, {'item': 12328280}, {'item': 25673559}, {'item': 36003073}, {'item': 78281812}, {'item': 28470202}]",Private sector,Health sector,Political science,"[{'score': 0.45, 'id': 'https://metadata.un.org/sdg/8', 'display_name': 'Decent work and economic growth'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-3.586600604993518
22939286,2019,article,6,2,"['Esther Kamau', 'Gillian MacNaughton']","['University of Massachusetts Boston', 'University of Massachusetts Boston']","[{'item': 4229793}, {'item': 96152207}, {'item': 83755457}, {'item': 40531879}, {'item': 76342697}, {'item': 53425004}, {'item': 70897578}, {'item': 32816690}, {'item': 41659991}, {'item': 88471952}, {'item': 30143566}, {'item': 85538875}, {'item': 86670954}, {'item': 74182415}, {'item': 19112619}, {'item': 94511885}]",Millennium Development Goals,Sustainable development,Economic growth,"[{'score': 0.54, 'id': 'https://metadata.un.org/sdg/17', 'display_name': 'Partnerships for the goals'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-3.586600604993518
62365911,2019,article,3,2,"['Dominic Dankwah Agyei', 'George Clifford Yamson']","['University of Health and Allied Sciences', 'Central University']","[{'item': 4519985}, {'item': 47568427}, {'item': 90827888}, {'item': 79994472}, {'item': 66300070}, {'item': 4339185}, {'item': 54304002}, {'item': 39885626}, {'item': 50660605}, {'item': 26796075}, {'item': 16999139}, {'item': 62924774}, {'item': 43662041}, {'item': 94121424}, {'item': 24407709}, {'item': 92110889}, {'item': 90555870}, {'item': 51587105}, {'item': 7656893}, {'item': 29373498}, {'item': 57115798}, {'item': 61101057}]",Malaria,Health literacy,Information literacy,"[{'score': 0.88, 'id': 'https://metadata.un.org/sdg/4', 'display_name': 'Quality education'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-2.9136561317510923
69854949,2019,book-chapter,2,1,['María Belén Federico'],['Fundación Instituto Leloir'],"[{'item': 60945240}, {'item': 55616258}, {'item': 65797989}, {'item': 16574876}, {'item': 77330786}, {'item': 64131210}, {'item': 8070668}, {'item': 85544089}, {'item': 8574697}, {'item': 85318758}, {'item': 81828937}, {'item': 59908675}, {'item': 74206383}, {'item': 19703209}, {'item': 4376763}, {'item': 9302038}, {'item': 35271130}, {'item': 77251837}, {'item': 62765058}, {'item': 92613404}, {'item': 12796751}, {'item': 22771470}, {'item': 74324754}, {'item': 23286362}, {'item': 37278041}, {'item': 85215766}, {'item': 19003270}, {'item': 61537256}, {'item': 50178876}, {'item': 83258179}, {'item': 87507885}, {'item': 83711462}, {'item': 96192245}, {'item': 47295500}, {'item': 89042379}, {'item': 62608876}, {'item': 99228778}, {'item': 57322173}, {'item': 80453802}, {'item': 75294793}, {'item': 14430579}, {'item': 90926565}]",Skin cancer,Melanoma,Incidence (geometry),"[{'score': 0.6, 'id': 'https://metadata.un.org/sdg/3', 'display_name': 'Good health and well-being'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-1.5755568737893226
