PMID,year,type,num_citations,num_authors,authors,institutions,c04_referencelist,subfield,field,domain,sustainable_development_goals,keyword_analysis,collaborative_index,license,journal_impact_factor,citations_geographical,page_count,publisher,apc_paid,open_access_status,Novelty
79147644,2019,article,44,14,"['Philippa Druce', 'Ekaterina Bogatyreva', 'Frederik Francois Siem', 'Scott Gates', 'Hanna Kaade', 'Johanne Sundby', 'Morten Rostrup', 'C B Andersen', 'Siri Aas Rustad', 'Andrew E. Yaw Tchie', 'Robert Mood', 'Håvard Mokleiv Nygård', 'Henrik Urdal', 'Andrea S. Winkler']","['University of Oslo', 'University of Oslo', 'Norges Røde Kors', 'Peace Research Institute Oslo', 'University of Oslo', 'Ministry of Foreign Affairs', 'Peace Research Institute Oslo', 'Norges Røde Kors', 'Peace Research Institute Oslo', 'Peace Research Institute Oslo', 'University of Oslo']","[{'item': 62069095}, {'item': 91032968}, {'item': 9903216}, {'item': 94953504}, {'item': 50102273}]",Health care,Public health,Health services research,"[{'score': 0.61, 'display_name': 'Partnerships for the goals', 'id': 'https://metadata.un.org/sdg/17'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 1990, 'currency': 'GBP', 'value_usd': 2440, 'provenance': 'doaj'}",Missing,-5.772414169815724
63391003,2019,book-chapter,19,11,"['Constance L. McDermott', 'Emmanuel Acheampong', 'Seema Arora‐Jonsson', 'R. Asare', 'Wil de Jong', 'Mark Hirons', 'Kaysara Khatun', 'Mary Menton', 'Fiona Nunan', 'Mahesh Poudyal', 'Abidah B. Setyowati']",['Kyoto University'],"[{'item': 54190089}, {'item': 27543281}, {'item': 8978909}, {'item': 4849878}, {'item': 20063278}, {'item': 33291999}, {'item': 82013633}, {'item': 65003740}, {'item': 60453302}, {'item': 26985501}, {'item': 13525947}, {'item': 58878138}, {'item': 55530065}, {'item': 56855980}, {'item': 4294698}, {'item': 31200052}, {'item': 16347489}, {'item': 55440096}, {'item': 51321115}, {'item': 87856135}, {'item': 73941622}, {'item': 2031716}, {'item': 88117327}, {'item': 60610568}, {'item': 72619015}, {'item': 75049209}, {'item': 85627616}, {'item': 60016004}, {'item': 48443417}, {'item': 26519630}, {'item': 5143707}, {'item': 65773757}, {'item': 77996366}, {'item': 14845801}, {'item': 72135825}, {'item': 57439111}, {'item': 80302798}, {'item': 58221501}, {'item': 49123099}, {'item': 58421553}, {'item': 8938022}, {'item': 8020240}, {'item': 9111900}, {'item': 83512249}, {'item': 98991925}, {'item': 61686522}, {'item': 54167607}, {'item': 61188439}, {'item': 19954127}, {'item': 76145043}, {'item': 39205968}, {'item': 26855586}, {'item': 10092033}, {'item': 17013263}, {'item': 83797206}, {'item': 85819576}, {'item': 63943368}, {'item': 94654584}, {'item': 82283114}, {'item': 11242062}, {'item': 85841423}, {'item': 80293845}, {'item': 86315410}, {'item': 1546838}, {'item': 28162702}, {'item': 14256259}, {'item': 27804820}, {'item': 70211671}, {'item': 20744354}, {'item': 49517845}, {'item': 20651894}, {'item': 71603851}, {'item': 28708801}, {'item': 73088782}, {'item': 36786188}, {'item': 62914507}, {'item': 75369811}, {'item': 2404150}]",Rule of law,Transparency (behavior),Accountability,[],Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,0.7187834556263041
23702146,2019,book-chapter,18,1,['Liora Lazarus'],['University of Oxford'],"[{'item': 52508213}, {'item': 4232236}, {'item': 81313877}, {'item': 67360658}]",Securitization,Context (archaeology),Law and economics,"[{'score': 0.55, 'display_name': 'Peace, justice, and strong institutions', 'id': 'https://metadata.un.org/sdg/16'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-6.347778314719285
79832245,2019,article,10,2,"['Marie Laberge', 'Nadia Touihri']",['National Institute of Meteorology'],"[{'item': 7692319}, {'item': 49479505}, {'item': 58635560}]",Accountability,Scope (computer science),Politics,"[{'score': 0.76, 'display_name': 'Peace, justice, and strong institutions', 'id': 'https://metadata.un.org/sdg/16'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-7.158708530935614
80063000,2019,article,9,5,"['Jiawei Li', 'Wen‐Hao Chen', 'Qing Xu', 'Neal Shah', 'Tim K. Mackey']","['University of California, San Diego', 'University of California, San Diego', 'University of California, San Diego', 'University of California, San Diego', 'University of California, San Diego']","[{'item': 85352532}, {'item': 48205250}, {'item': 6693903}, {'item': 61906185}, {'item': 55761804}, {'item': 61837756}, {'item': 86573073}, {'item': 15022978}, {'item': 44863105}, {'item': 1384815}, {'item': 55408796}, {'item': 77139467}, {'item': 45054710}]",Language change,Sustainable development,Scope (computer science),"[{'score': 0.8, 'display_name': 'Peace, justice, and strong institutions', 'id': 'https://metadata.un.org/sdg/16'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-3.575189592479504
20449340,2019,book-chapter,6,2,"['Isabel B. Franco', 'Ellen Derbyshire']","['United Nations University Institute for the Advanced Study of Sustainability', 'University of Queensland']","[{'item': 31317830}, {'item': 64355643}, {'item': 18577273}, {'item': 11352274}, {'item': 1073367}, {'item': 6479324}, {'item': 35067512}, {'item': 50269076}, {'item': 40125939}, {'item': 13876727}, {'item': 93441632}, {'item': 66698132}, {'item': 54407834}, {'item': 4418140}, {'item': 27428357}]",Livelihood,Sustainability,Context (archaeology),[],Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-3.2668882328249875
80372085,2019,article,6,1,['Laila El Baradei'],['American University in Cairo'],"[{'item': 88749253}, {'item': 61951196}, {'item': 42304151}, {'item': 49113747}, {'item': 79351642}, {'item': 80693592}, {'item': 92888465}, {'item': 85035924}]",Politics,Public administration,Political science,"[{'score': 0.64, 'display_name': 'Peace, justice, and strong institutions', 'id': 'https://metadata.un.org/sdg/16'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-4.653182593944878
65747888,2019,book,4,11,"['Constance L. McDermott', 'Emmanuel Acheampong', 'Seema Arora‐Jonsson', 'R. Asare', 'Wil de Jong', 'Mark Hirons', 'Kaysara Khatun', 'Mary Menton', 'Fiona Nunan', 'Mahesh Poudyal', 'Abidah B. Setyowati']","['University of Oxford', 'Kwame Nkrumah University', 'Swedish University of Agricultural Sciences', 'Nature Conservation Centre', 'Kyoto University', 'University of Oxford', 'University of Oxford', 'University of Sussex', 'University of Birmingham']","[{'item': 54190089}, {'item': 8978909}, {'item': 20063278}, {'item': 33291999}, {'item': 82013633}, {'item': 65003740}, {'item': 60453302}, {'item': 26985501}, {'item': 13525947}, {'item': 58878138}, {'item': 55530065}, {'item': 56855980}, {'item': 4294698}, {'item': 31200052}, {'item': 16347489}, {'item': 55440096}, {'item': 51321115}, {'item': 87856135}, {'item': 73941622}, {'item': 2031716}, {'item': 88117327}, {'item': 72619015}, {'item': 75049209}, {'item': 60016004}, {'item': 26519630}, {'item': 5143707}, {'item': 65773757}, {'item': 77996366}, {'item': 14845801}, {'item': 72135825}, {'item': 57439111}, {'item': 80302798}, {'item': 58221501}, {'item': 49123099}, {'item': 8938022}, {'item': 8020240}, {'item': 9111900}, {'item': 83512249}, {'item': 61686522}, {'item': 54167607}, {'item': 19954127}, {'item': 76145043}, {'item': 39205968}, {'item': 26855586}, {'item': 10092033}, {'item': 17013263}, {'item': 83797206}, {'item': 85819576}, {'item': 82283114}, {'item': 11242062}, {'item': 85841423}, {'item': 80293845}, {'item': 86315410}, {'item': 1546838}, {'item': 75746017}, {'item': 14256259}, {'item': 20744354}, {'item': 49517845}, {'item': 71603851}, {'item': 28708801}, {'item': 62914507}]",Political science,Accountability,Politics,"[{'score': 0.67, 'display_name': 'Gender equality', 'id': 'https://metadata.un.org/sdg/5'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,0.6018117790407999
41468787,2019,book-chapter,3,2,"['David Mickler', 'George Mukundi Wachira']",['University of Western Australia'],"[{'item': 63295604}, {'item': 83819022}, {'item': 90874666}, {'item': 68933658}, {'item': 96469395}, {'item': 42980801}, {'item': 69248766}, {'item': 54667348}, {'item': 44749081}, {'item': 1317766}, {'item': 50734096}, {'item': 921067}, {'item': 13033380}]",Blueprint,Political science,Mandate,"[{'score': 0.51, 'display_name': 'Reduced inequalities', 'id': 'https://metadata.un.org/sdg/10'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-3.575189592479504
85359966,2020,article,19,2,"['Nidhi Nagabhatla', 'Rupal Brahmbhatt']","['United Nations University Institute for Water, Environment, and Health', 'McMaster University', 'University of Northern British Columbia']","[{'item': 56971009}, {'item': 90818581}, {'item': 34322433}, {'item': 50460297}, {'item': 14280883}, {'item': 17963052}, {'item': 98580948}, {'item': 36384899}, {'item': 46761489}, {'item': 66876322}, {'item': 66599953}, {'item': 62132621}, {'item': 45646736}, {'item': 30137843}, {'item': 66486844}, {'item': 58733836}, {'item': 63274346}, {'item': 12277820}, {'item': 73010504}, {'item': 13232815}, {'item': 32872335}, {'item': 24064349}, {'item': 39200550}, {'item': 97853459}, {'item': 41361898}, {'item': 88616002}, {'item': 29254420}, {'item': 54564676}, {'item': 72135688}, {'item': 72707633}, {'item': 50167761}, {'item': 24804493}, {'item': 84733048}, {'item': 64311081}, {'item': 79141525}, {'item': 8599989}]",Geospatial analysis,Sustainable development,Urbanization,"[{'score': 0.49, 'display_name': 'Climate action', 'id': 'https://metadata.un.org/sdg/13'}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 2500, 'currency': 'CHF', 'value_usd': 2707, 'provenance': 'doaj'}",Missing,0.49597052277506654
