PMID,Year,Author,Institution,City,Region,State,Latitude,Longitude
50553113,2016,Michael Acheampong,University of South Florida,Tampa,Florida,United States,28.0587031,-82.41385389999999
50553113,2016,Funda Cansu Ertem,Technische Universität Berlin,Berlin,Berlin,Germany,52.52000659999999,13.404954
50553113,2016,Benjamin Kappler,LifeTec Group (Netherlands),Eindhoven,Noord-Brabant,Netherlands,51.444487,5.4800071
50553113,2016,Peter Neubauer,Technische Universität Berlin,Berlin,Berlin,Germany,52.52000659999999,13.404954
10168651,2016,Ishmael Ackah,Kwame Nkrumah University of Science and Technology,Kumasi,Ashanti Region,Ghana,6.674503499999999,-1.5716114
35504398,2018,Dumisani Chirambo,Brandenburg University of Technology Cottbus-Senftenberg,Cottbus,Brandenburg,Germany,51.7671189,14.3266976
38266705,2018,R.C. Ocansey,,,,,,
38236694,2019,Michael Acheampong,Oklahoma State University,Stillwater,Oklahoma,United States,36.126572,-97.07348209999999
38236694,2019,Qiuyan Yu,University of South Florida,Tampa,Florida,United States,28.0587031,-82.41385389999999
38236694,2019,Funda Cansu Ertem,Technische Universität Berlin,Berlin,Berlin,Germany,52.52000659999999,13.404954
38236694,2019,Lucy Deba Enomah Ebude,University of South Florida,Tampa,Florida,United States,28.0587031,-82.41385389999999
38236694,2019,Shakhawat H. Tanim,University of South Florida,Tampa,Florida,United States,28.0587031,-82.41385389999999
38236694,2019,Michael Eduful,University of South Florida,Tampa,Florida,United States,28.0587031,-82.41385389999999
38236694,2019,Mehrdad Vaziri,University of South Florida,Tampa,Florida,United States,28.0587031,-82.41385389999999
38236694,2019,Erick O. Ananga,East Central University,Ada,Oklahoma,United States,34.7724992,-96.661179
41239546,2019,Amanda Lange Sálvia,Universidade de Passo Fundo,,Rio Grande do Sul,Brazil,-28.234493,-52.38044
41239546,2019,Luciana Brandli,Universidade de Passo Fundo,,Rio Grande do Sul,Brazil,-28.234493,-52.38044
74003766,2019,O Nam–Chol,Korean Academy of Science and Technology,Seongnam-si,Gyeonggi-do,South Korea,37.34967470000001,127.1066298
50033580,2019,Isabel B. Franco,United Nations University Institute for the Advanced Study of Sustainability,Shibuya,Tokyo,Japan,35.6624735,139.7083881
50033580,2019,Caitlin Power,University of Queensland,Saint Lucia,Queensland,Australia,-27.4976696,153.0128661
50033580,2019,Josh Whereat,University of Queensland,Saint Lucia,Queensland,Australia,-27.4976696,153.0128661
78289296,2019,Pamela Jagger,,,,,,
78289296,2019,Rob Bailis,,,,,,
78289296,2019,Ahmad Dermawan,,,,,,
78289296,2019,Noah Kittner,,,,,,
78289296,2019,Ryan McCord,,,,,,
38876403,2020,Aam Slamet Rusydiana,Airlangga University,,East Java,Indonesia,-7.269580499999999,112.7825799
38876403,2020,Nisful Laila,Muhammadiyah University Purwokerto,Purwokerto,Central Java,Indonesia,-7.4242782,109.2396366
38876403,2020,Naelati Tubastuvi,Bandung Islamic University,,Jawa Barat,Indonesia,-6.903590299999999,107.6078372
38876403,2020,Mohamad Andri Ibrahim,Siliwangi University,,Jawa Barat,Indonesia,-7.349914699999998,108.2227775
65679170,2020,Ram Chandra Khanal,Tribhuvan University,Kathmandu,Bagmati Province,Nepal,27.6806722,85.28346289999999
65679170,2020,Shree Raj Shakya,Institute of Engineering,,,,,
65679170,2020,Tri Ratna Bajracharya,Tribhuvan University,Kathmandu,Bagmati Province,Nepal,27.6806722,85.28346289999999
88145274,2020,Godwell Nhamo,,,,,,
88145274,2020,Charles Nhemachena,,,,,,
88145274,2020,Senia Nhamo,,,,,,
88145274,2020,Vuyo Mjimba,,,,,,
88145274,2020,Ivana Savić,,,,,,
86978121,2020,Eric Yankson,Namibia University of Science and Technology,Windhoek,Khomas Region,Namibia,-22.565785,17.0773438
89419012,2020,Godwell Nhamo,,,,,,
89419012,2020,Charles Nhemachena,,,,,,
89419012,2020,Senia Nhamo,,,,,,
89419012,2020,Vuyo Mjimba,,,,,,
89419012,2020,Ivana Savić,,,,,,
33827469,2020,Godwell Nhamo,,,,,,
33827469,2020,Charles Nhemachena,,,,,,
33827469,2020,Senia Nhamo,,,,,,
33827469,2020,Vuyo Mjimba,,,,,,
33827469,2020,Ivana Savić,,,,,,
86243425,2021,Rajvikram Madurai Elavarasan,Texas A&M University at Galveston,Galveston,Texas,United States,29.3154967,-94.8182868
86243425,2021,Rishi Pugazhendhi,Sri Venkateswara University,Tirupati,Andhra Pradesh,India,13.6275552,79.39677979999999
86243425,2021,Taskin Jamal,Ahsanullah University of Science and Technology,,,,,
86243425,2021,Joanna Dyduch,Jagiellonian University,Kraków,Województwo małopolskie,Poland,50.0620926,19.9333211
86243425,2021,Mohammad Taufiqul Arif,Deakin University,,,,,
86243425,2021,Nallapaneni Manoj Kumar,City University of Hong Kong,,Kowloon,Hong Kong,22.3370342,114.17272
86243425,2021,GM Shafiullah,Murdoch University,,,,,
86243425,2021,Shauhrat S. Chopra,City University of Hong Kong,,Kowloon,Hong Kong,22.3370342,114.17272
86243425,2021,N. Mithulananthan,Queensland University of Technology,Brisbane City,Queensland,Australia,-27.4773131,153.0270449
11075008,2021,Franziska Müller,Universität Hamburg,Hamburg,Hamburg,Germany,53.5630754,9.9884042
11075008,2021,Manuel Neumann,University of Kassel,Kassel,Hessen,Germany,51.3218131,9.5059404
11075008,2021,Carsten Elsner,University of Kassel,Kassel,Hessen,Germany,51.3218131,9.5059404
11075008,2021,Simone Claar,University of Kassel,Kassel,Hessen,Germany,51.3218131,9.5059404
3253326,2021,Аrtem Аrtyukhov,Sumy State University,Sumy,Sums'ka oblast,Ukraine,50.89226439999999,34.84181030000001
3253326,2021,Iurii Volk,Sumy State University,Sumy,Sums'ka oblast,Ukraine,50.89226439999999,34.84181030000001
3253326,2021,Tetiana Vasylieva,Sumy State University,Sumy,Sums'ka oblast,Ukraine,50.89226439999999,34.84181030000001
3253326,2021,Serhiy Lyeonov,Sumy State University,Sumy,Sums'ka oblast,Ukraine,50.89226439999999,34.84181030000001
22166559,2021,Mingzhe Yu,Beijing Technology and Business University,,Beijing,China,39.720361,116.170043
22166559,2021,Jakub Kubiczek,University of Economics in Katowice,Katowice,Województwo śląskie,Poland,50.2584208,19.0447436
22166559,2021,Kai Ding,Universiti Putra Malaysia,Padang Tengku,Pahang,Malaysia,4.210484,101.975766
22166559,2021,Agha Jahanzeb,Sukkur IBA University,Sukkur,Sindh,Pakistan,27.7267609,68.81913469999999
22166559,2021,Nadeem Iqbal,Air University,,,,,
47886072,2021,Daniela Firoiu,Romanian-American University,București,București,Romania,44.47339030000001,26.0654908
47886072,2021,George H. Ionescu,Romanian-American University,București,București,Romania,44.47339030000001,26.0654908
47886072,2021,Ramona Pîrvu,University of Craiova,Craiova,Județul Dolj,Romania,44.3190838,23.8008038
47886072,2021,Laura Mariana Cismaş,West University of Timişoara,Timișoara,Județul Timiș,Romania,45.7471195,21.2316152
47886072,2021,Sorin Tudor,University of Craiova,Craiova,Județul Dolj,Romania,44.3190838,23.8008038
47886072,2021,Ioana Cristiana Patrichi,Romanian-American University,București,București,Romania,44.47339030000001,26.0654908
4779332,2021,Faturachman Alputra Sudirman,Haluoleo University,,Sulawesi Tenggara,Indonesia,-4.0084962,122.5207543
4779332,2021,Rahim Rifai,Haluoleo University,,Sulawesi Tenggara,Indonesia,-4.0084962,122.5207543
91144225,2021,Xiahui Che,Nanjing University of Information Science and Technology,Nanjing,Jiang Su Sheng,China,32.20541,118.726956
91144225,2021,Minxing Jiang,Nanjing University of Information Science and Technology,Nanjing,Jiang Su Sheng,China,32.20541,118.726956
91144225,2021,Cheng Fan,Nanjing University of Information Science and Technology,Nanjing,Jiang Su Sheng,China,32.20541,118.726956
35794347,2021,Karli Manko,,,,,,
35794347,2021,Todd A. Watkins,,,,,,
39793037,2021,Francisco Javier Vela-Cobos,Universidad Politécnica de Madrid,Madrid,Community of Madrid,Spain,40.41672790000001,-3.7032905
39793037,2021,Ronald Cavero,Universidad Politécnica de Madrid,Madrid,Community of Madrid,Spain,40.41672790000001,-3.7032905
39793037,2021,Carlos A. Platero,Universidad Politécnica de Madrid,Madrid,Community of Madrid,Spain,40.41672790000001,-3.7032905
5927923,2021,Stuart Bruce,University of Cambridge,Cambridge,England,United Kingdom,52.205356,0.113168
5927923,2021,Jorge E. Viñuales,University of Cambridge,Cambridge,England,United Kingdom,52.205356,0.113168
