PMID,Year,Author,Institution,City,Region,State,Latitude,Longitude
76752463,2019,Maria Fernanda Tomaselli,,,,,,
76752463,2019,Joleen Timko,,,,,,
76752463,2019,Robert Kozak,,,,,,
76752463,2019,Justin G. Bull,,,,,,
76752463,2019,Sean P. Kearney,,,,,,
76752463,2019,Jack Saddler,,,,,,
76752463,2019,Susan van Dyk,,,,,,
76752463,2019,Guangyu Wang,,,,,,
76752463,2019,Xinxin Zhu,,,,,,
40773147,2019,Dilip Kumar,University B.T. & Evening College,Cooch Behar,West Bengal,India,26.3319653,89.44389629999999
40773147,2019,R. B. Singh,University of Delhi,New Delhi,Delhi,India,28.5842824,77.1638519
40773147,2019,Ranjeet Kaur,University of Delhi,New Delhi,Delhi,India,28.5842824,77.1638519
89371854,2019,Sabyasachi Saha,India Habitat Centre,New Delhi,Delhi,India,28.5896808,77.22556019999999
89371854,2019,Prativa Shaw,India Habitat Centre,New Delhi,Delhi,India,28.5896808,77.22556019999999
63830591,2019,Isabel B. Franco,United Nations University Institute for the Advanced Study of Sustainability,Shibuya,Tokyo,Japan,35.6624735,139.7083881
63830591,2019,Franz Gonzalez Arduz,Australian Institute of Business,Adelaide,South Australia,Australia,-34.9219817,138.5990701
63830591,2019,Jairo Andres Buitrago,University of Queensland,Saint Lucia,Queensland,Australia,-27.4976696,153.0128661
171536,2020,Petra Kynčlová,United Nations Industrial Development Organization,,,,,
171536,2020,Shyam Upadhyaya,United Nations Industrial Development Organization,,,,,
171536,2020,Thomas Nice,Humboldt-Universität zu Berlin,Berlin,Berlin,Germany,52.517883,13.3936551
65466954,2020,Olena Trofymenko,International University,,,,,
7392242,2021,Julio Henrique Costa Nobrega,Universidade Estadual de Campinas (UNICAMP),,São Paulo,Brazil,-22.8184393,-47.0647206
7392242,2021,Izabela Simon Rampasso,Universidad Católica del Norte,Antofagasta,Antofagasta,Chile,-23.6790475,-70.4096811
7392242,2021,Vasco Sanchez‐Rodrigues,Cardiff University,Cardiff,Wales,United Kingdom,51.4887336,-3.1807339
7392242,2021,Osvaldo Luíz Gonçalves Quelhas,Universidade Federal Fluminense,,,,,
7392242,2021,Walter Leal Filho,HAW Hamburg,Hamburg,Hamburg,Germany,53.55620949999999,10.0225391
7392242,2021,Milena Pavan Serafim,Universität Hamburg,Hamburg,Hamburg,Germany,53.5630754,9.9884042
7392242,2021,Rosley Anholon,Universidade Estadual de Campinas (UNICAMP),,São Paulo,Brazil,-22.8184393,-47.0647206
25302591,2021,Kujo E. McDave,,,,,,
25302591,2021,Alexander Hackman-Aidoo,,,,,,
42568236,2021,Abubakar Jamilu Baita,Maitama Sule University Kano,Kano,Kano,Nigeria,12.0043254,8.483346
42568236,2021,Hassan Suleiman,National Universities Commission,,,,,
54849360,2021,Samantha Castle,University of Pretoria,Pretoria,Gauteng,South Africa,-25.7545492,28.2314476
92848881,2022,Аrtem Аrtyukhov,Sumy State University,Sumy,Sums'ka oblast,Ukraine,50.89226439999999,34.84181030000001
92848881,2022,Iurii Volk,Sumy State University,Sumy,Sums'ka oblast,Ukraine,50.89226439999999,34.84181030000001
92848881,2022,Tetiana Anatoliivna Vasylieva,Sumy State University,Sumy,Sums'ka oblast,Ukraine,50.89226439999999,34.84181030000001
99317552,2022,Bunga Putri Nauli,University of Indonesia,,Jawa Barat,Indonesia,-6.3606229,106.8272343
54460594,2022,Olebogeng Selebi,University of Pretoria,Pretoria,Gauteng,South Africa,-25.7545492,28.2314476
54460594,2022,Sandy Oupa Mhlongo,University of Pretoria,Pretoria,Gauteng,South Africa,-25.7545492,28.2314476
86431207,2022,José Luís Solleiro,Universidad Nacional Autónoma de México,Ciudad de México,Ciudad de México,Mexico,19.332795,-99.1876103
86431207,2022,Araceli Olivia Mejía-Chávez,Universidad Nacional Autónoma de México,Ciudad de México,Ciudad de México,Mexico,19.332795,-99.1876103
86431207,2022,Rosario Castañón-Ibarra,Universidad Nacional Autónoma de México,Ciudad de México,Ciudad de México,Mexico,19.332795,-99.1876103
