PMID,Year,Author,Institution,City,Region,State,Latitude,Longitude
70782983,2017,Michelle Mycoo,University of the West Indies,Kingston,St. Andrew Parish,Jamaica,18.0059084,-76.746836
33030718,2017,Ralph P. Hall,Virginia Tech,Blacksburg,Virginia,United States,37.22838429999999,-80.42341669999999
33030718,2017,Shyam Ranganathan,Virginia Tech,Blacksburg,Virginia,United States,37.22838429999999,-80.42341669999999
33030718,2017,Raj G. C.,Virginia Tech,Blacksburg,Virginia,United States,37.22838429999999,-80.42341669999999
58054225,2018,Angela Renata Cordeiro Ortigara,IHE Delft Institute for Water Education,Delft,Zuid-Holland,Netherlands,52.0089365,4.3566444
58054225,2018,Melvyn Kay,Delft University of Technology,Delft,Zuid-Holland,Netherlands,52.0021919,4.3735766
5241716,2018,A.B. Roy,,,,,,
5241716,2018,Kousik Pramanick,,,,,,
40373503,2019,David Requejo Castro,Universitat Politècnica de Catalunya,Jorba,Catalonia,Spain,41.5911589,1.5208624
40373503,2019,Ricard Giné Garriga,Stockholm International Water Institute,Stockholm,Stockholms län,Sweden,59.3006876,18.0843811
40373503,2019,Agustí Pérez Foguet,Universitat Politècnica de Catalunya,Jorba,Catalonia,Spain,41.5911589,1.5208624
36691340,2019,Raed Fehri,UCLouvain,Ottignies-Louvain-la-Neuve,Région Wallonne,Belgium,50.6696767,4.615875
36691340,2019,Slaheddine Khlifi,École Supérieure des Ingénieurs de l'Équipement Rural,,,,,
36691340,2019,Marnik Vanclooster,UCLouvain,Ottignies-Louvain-la-Neuve,Région Wallonne,Belgium,50.6696767,4.615875
60190915,2019,Horman Chitonge,University of Cape Town,Cape Town,Western Cape,South Africa,-33.957652,18.4611991
60190915,2019,Amanda Mokoena,University of Cape Town,Cape Town,Western Cape,South Africa,-33.957652,18.4611991
60190915,2019,Minga Kongo,University of Cape Town,Cape Town,Western Cape,South Africa,-33.957652,18.4611991
37282095,2019,James Horne,Smith Family,,,,,
25619292,2019,Jaime M. Amézaga,,,,,,
25619292,2019,James C. Bathurst,,,,,,
25619292,2019,Andrés Iroumé,,,,,,
25619292,2019,Julia Jones,,,,,,
25619292,2019,Rajan Kotru,,,,,,
25619292,2019,Laxmi Dutt Bhatta,,,,,,
25619292,2019,Elaine Springgay,,,,,,
