PMID,Year,Author,Institution,City,Region,State,Latitude,Longitude
90896372,2018,Matthew A. Brom,Rensselaer Polytechnic Institute,Troy,New York,United States,42.7297628,-73.67888839999999
90896372,2018,Shama Campbell,Rensselaer Polytechnic Institute,Troy,New York,United States,42.7297628,-73.67888839999999
90896372,2018,Ivan Sánchez-Díaz,Rensselaer Polytechnic Institute,Troy,New York,United States,42.7297628,-73.67888839999999
90896372,2018,Carlos A. González‐Calderón,Rensselaer Polytechnic Institute,Troy,New York,United States,42.7297628,-73.67888839999999
90896372,2018,Alain L. Kornhauser,Princeton University,Princeton,New Jersey,United States,40.3430942,-74.65507389999999
90896372,2018,Mark Simon,New York City Department of Transportation,New York,New York,United States,40.7127753,-74.0059728
90896372,2018,Susan McSherry,New York City Department of Transportation,New York,New York,United States,40.7127753,-74.0059728
90896372,2018,Asheque Rahman,New York City Department of Transportation,New York,New York,United States,40.7127753,-74.0059728
90896372,2018,Trilce Encarnación,Rensselaer Polytechnic Institute,Troy,New York,United States,42.7297628,-73.67888839999999
90896372,2018,Xia Yang,Rensselaer Polytechnic Institute,Troy,New York,United States,42.7297628,-73.67888839999999
90896372,2018,Diana G. Ramírez-Ríos,Rensselaer Polytechnic Institute,Troy,New York,United States,42.7297628,-73.67888839999999
90896372,2018,Lokesh Kalahasthi,Rensselaer Polytechnic Institute,Troy,New York,United States,42.7297628,-73.67888839999999
90896372,2018,Johanna Amaya,Rensselaer Polytechnic Institute,Troy,New York,United States,42.7297628,-73.67888839999999
90896372,2018,Michael A. Silas,Rensselaer Polytechnic Institute,Troy,New York,United States,42.7297628,-73.67888839999999
90896372,2018,Brandon R. Allen,Rensselaer Polytechnic Institute,Troy,New York,United States,42.7297628,-73.67888839999999
90896372,2018,Brenda Cruz,Rensselaer Polytechnic Institute,Troy,New York,United States,42.7297628,-73.67888839999999
46701388,2018,Andrea Boeri,University of Bologna,Bologna,Emilia-Romagna,Italy,44.4969129,11.352376
46701388,2018,Jacopo Gaspari,University of Bologna,Bologna,Emilia-Romagna,Italy,44.4969129,11.352376
46701388,2018,Valentina Gianfrate,University of Bologna,Bologna,Emilia-Romagna,Italy,44.4969129,11.352376
46701388,2018,Danila Longo,University of Bologna,Bologna,Emilia-Romagna,Italy,44.4969129,11.352376
46701388,2018,Saveria Olga Murielle Boulanger,University of Bologna,Bologna,Emilia-Romagna,Italy,44.4969129,11.352376
13926840,2018,Alessandra Ricciardelli,LUM Jean Monnet University,,,,,
13926840,2018,Francesco Manfredi,LUM Jean Monnet University,,,,,
13926840,2018,Margaret Antonicelli,LUM Jean Monnet University,,,,,
10657730,2018,Maria-Lluïsa Marsal-Llacuna,,,,,,
97621604,2018,Chien‐Sing Lee,Sunway University,,,,,
74496105,2018,Anastasia Stratigea,National Technical University of Athens,Zografou,,Greece,37.9777547,23.7837782
74496105,2018,Akrivi Leka,National Technical University of Athens,Zografou,,Greece,37.9777547,23.7837782
74496105,2018,Μαρία Παναγιωτοπούλου,National Technical University of Athens,Zografou,,Greece,37.9777547,23.7837782
93317898,2018,Pablo A. Egaña del Sol,Asia School of Business,Kuala Lumpur,Wilayah Persekutuan,Malaysia,3.1554656,101.6924639
80059388,2018,Anastasia Stratigea,National Technical University of Athens,Zografou,,Greece,37.9777547,23.7837782
80059388,2018,Akrivi Leka,National Technical University of Athens,Zografou,,Greece,37.9777547,23.7837782
